NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
290,HVDC-ADOPT-SCT-0027,E08,HVDC-ADOPT-SCT-0027,2024-10-09,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Flood Light,,O,O,,FOB,USD,1030.0,1235.73,27.19,2292.92,CHINA,Shenzhen,Abu Dhabi Airport,921-46552590,O3139,Deugro,A,10,,,,,,,,,,,,,,,,,0.0,,,,51.0,0.83,0.83,,2024-11-10,2024-11-10,2024-11-11,2024-11-11,2025-04-10,2024-11-12,2024-11-12,2024-11-12,47150.0,645.0,677.0,,2024-11-14,2024-11-14,,,,,,,,,,,,,1,Port → Site
306,HVDC-ADOPT-SCT-0033,E08,HVDC-ADOPT-SCT-0033,2024-11-21,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Ondo G3 LW20000-840 ET,,,O,,FOB,USD,5500.0,359.16,64.46,5923.62,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,157-37906632,QR150,Deugro,A,1,,,,,,,,,,,,,,,,,0.0,,,,82.0,0.72,0.72,,2024-11-21,2024-11-21,2024-11-23,2024-11-23,2025-04-16,2024-11-25,2024-11-25,2024-11-25,47150.0,1088.0,1142.0,,2024-11-26,,,,,,,,,,,,,,1,Port → Site
325,HVDC-ADOPT-SCT-0023,E08,HVDC-ADOPT-SCT-0023,2024-11-09,5000735555,LS Cable,Elec,400kv Power Cable,400kv Power Cable (3rd),O,,O,,FOB,USD,9138683.72,261361.43,103400.5,9503445.65,KOREA,Masan,Khalifa port,290-700-2410-098,OCEAN SUCCESS,Deugro,B,56,,,,,,,,,,,,,,,,,0.0,,,,1287821.0,2376.01,2376.01,,2024-11-09,2024-11-09,2024-12-15,2024-12-15,2025-04-16,2024-12-06,2024-12-07,2024-12-07,47150.0,1745071.0,1832324.0,2024-12-31,2025-01-02,,,,,,,,,,,,,,1,Port → Site
329,HVDC-ADOPT-SCT-0012,E08,HVDC-ADOPT-SCT-0012,2024-11-16,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV, LV & Control Cable (2nd)",O,,,,FOB,USD,860839.25,5600.0,10330.07,876769.32,KOREA,Busan Port,Khalifa port,290-700-2411-031,UMM QARN,Deugro,C,34,7.0,,,,,,,,,,,,,,,,7.0,,,,97780.0,132.65,132.65,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,2025-04-12,2024-12-17,2024-12-17,2024-12-17,47150.0,160997.0,169047.0,2025-01-07,,,,,,,,,,,,,,,1,Port → Site
351,HVDC-ADOPT-SIM-0034,E04-1,HVDC-ADOPT-SIM-0034,2024-10-02,SCT-19LT-PRC-PO-005,EUPEN,Elec,400kV and 132kV New Converter GIS,Eupen Cables - SHPS for Existing GIS Modification,O,,,,CIF,EUR,,,,3108.12,BELGIUM,Antwerp,Khalifa port,17413381,CSCL NEPTUNE,SSC,C,1,,,,,,,,,,,,,,,,,0.0,,,,376.0,0.0,0.38,,2024-12-01,2024-12-01,2025-01-04,2025-01-04,2025-04-17,2025-01-07,2025-01-14,2025-01-14,47150.0,583.0,612.0,2025-01-21,,,,,,,,,,,,,,,1,Port → Site
367,HVDC-ADOPT-SCT-0046,E08,HVDC-ADOPT-SCT-0046,2025-01-25,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,,,,FOB,USD,1759.24,530.1,19.14,2308.48,Shanghai,China,Abu Dhabi Airport,176-02272815,EK9879,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,62.0,0.31,0.31,,2025-01-22,2025-01-22,2025-01-26,2025-01-26,,2025-01-27,2025-01-27,2025-01-27,47150.0,424.0,445.0,2025-01-30,,,,,,,,,,,,,,,1,Port → Site
414,HVDC-ADOPT-SCT-0063,E08,HVDC-ADOPT-SCT-0063,2025-03-06,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (14th),O,,O,,FOB,USD,2166.0,455.0,31.45,2652.45,KOREA,Incheon,Abu Dhabi Airport,DGOS2502025,EY823,Deugro,A,2,,,,,,,,,,,,,,,,,0.0,,,,70.0,0.16,0.16,,2025-03-06,2025-03-06,2025-03-07,2025-03-07,,2025-03-07,2025-03-07,2025-03-07,47150.0,488.0,512.0,2025-03-27,2025-03-14,,,,,,,,,,,,,,1,Port → Site
419,HVDC-ADOPT-SCT-0047,E08,HVDC-ADOPT-SCT-0047,2025-01-30,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,,,,FOB,USD,47620.0,900.0,533.72,49053.72,CHINA,Shanghai,Khalifa port,290-700-2501-182,HMM GAON,Deugro,C,6,1.0,,,,,,,,,,,,,,,,1.0,,,,2402.0,16.59,16.59,,2025-01-30,2025-01-30,2025-03-07,2025-03-07,2025-04-17,2025-03-07,2025-03-07,2025-03-07,47150.0,9008.0,9458.0,2025-03-18,,,,,,,,,,,,,,,1,Port → Site
429,HVDC-ADOPT-SCT-0069,E08,HVDC-ADOPT-SCT-0069,2025-03-15,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System (Lighting Fixture),O,,,,FOB,USD,52500.0,4090.24,577.5,57167.74,Spain,Barcelona,Abu Dhabi Airport,BCN318684,EY0112,,A,4,,,,,,,,,,,,,,,,,0.0,,,,913.0,5.73,5.73,,2025-03-15,2025-03-15,2025-03-15,2025-03-15,2025-04-17,2025-03-17,2025-03-17,2025-03-17,47150.0,10498.0,11022.0,2025-04-05,,,,,,,,,,,,,,,1,Port → Site
460,HVDC-ADOPT-SIM-0066,E04-1,HVDC-ADOPT-SIM-0066,2025-01-23,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery,O,,O,,CIF,EUR,,,,40520.0,India,Visakhapatnam,Khalifa port,BBC/ABU/17763,MSC Sabrina,,C,32,1.0,,,,,,,,,,,,,,,,1.0,,,,5028.0,6.58,6.58,,2025-02-26,2025-02-26,2025-03-31,2025-03-31,2025-04-30,2025-04-02,2025-04-07,2025-04-07,47150.0,8190.0,8596.0,2025-04-19,2025-04-19,,,,,,,,,,,,,,1,Port → Site
498,HVDC-ADOPT-SCT-0088,E08,HVDC-ADOPT-SCT-0088,2025-04-16,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,,,,FOB,USD,6750.0,,,6750.0,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002376,EK4607T,,A,1,,,,,,,,,,,,,,,,,0.0,,,,103.0,0.71,0.71,,2025-04-16,2025-04-16,2025-04-19,2025-04-19,2025-04-30,2025-04-22,2025-04-22,2025-04-22,47150.0,1240.0,1302.0,2025-04-23,,,,,,,,,,,,,,,1,Port → Site
516,HVDC-ADOPT-SIM-0072,E04-1,50509616-DC,2025-03-28,SCT-19LT-PRC-PO-005,Qualitrol,Elec,400kV and 132kV New Converter GIS,400kV PQMS System (WBS Element)_DC,O,,O,,CIF,USD,,,,134080.0,United Kingdom,Belfast,Abu Dhabi Airport,176-04440774,EK9067,,A,2,,,,,,,,,,,,,,,,,0.0,,,,981.0,5.5,5.5,,2024-03-24,2024-03-24,2025-04-11,2025-04-11,2025-04-28,2025-04-16,2025-04-16,2025-04-16,47150.0,24621.0,25852.0,2025-05-01,2025-04-29,,,,,,,,,,,,,,1,Port → Site
517,HVDC-ADOPT-SIM-0073,E04-1,50509616-PS,2025-03-28,SCT-19LT-PRC-PO-005,Qualitrol,Elec,400kV and 132kV New Converter GIS,400kV PQMS System (WBS Element)_PS,O,,O,,CIF,USD,,,,124400.0,United Kingdom,Belfast,Abu Dhabi Airport,176-04440800,EK9067,,A,2,,,,,,,,,,,,,,,,,0.0,,,,1080.0,5.5,5.5,,2024-03-24,2024-03-24,2025-04-11,2025-04-11,2025-04-30,2025-04-16,2025-04-16,2025-04-16,47150.0,22843.0,23985.0,2025-04-23,2025-04-23,,,,,,,,,,,,,,1,Port → Site
518,HVDC-ADOPT-SEI-0017-02,E03,HVDC-ADOPT-SEI-0017-02,2025-01-21,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Oil Pressure Tank & Silicone Oil,,,,,CIF,JPY,52856179.0,12360.0,581417.89,53449956.89,JAPAN,Kobe,Khalifa port,290-700-2502-025,HONOR VOYAGER,,C,7,,,,,,,,,,2.0,,,,,,,2.0,,,,18673.0,82.6,82.6,,2025-02-10,2025-02-10,2025-04-08,2025-04-08,2025-11-30,2025-04-11,2025-04-30,2025-04-30,47150.0,68721.0,72157.0,2026-01-17,,,,,,,,,,,,,,,1,Port → Site
531,HVDC-ADOPT-SIM-0076-A,E04-1,HVDC-ADOPT-SIM-0076-A,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_MRPS,,,O,,CIF,EUR,,,,53380.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1500.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,52008.0,,2025-05-15,,,,,,,,,,,,,,1,Port → Site
532,HVDC-ADOPT-SIM-0076-B,E04-1,HVDC-ADOPT-SIM-0076-B,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_SHPS,O,,O,,CIF,EUR,,,,53380.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1500.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,,2025-05-15,,,,,,,,,,,,,,,1,Port → Site
533,HVDC-ADOPT-SIM-0076-C,E04-1,HVDC-ADOPT-SIM-0076-C,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_MRDC,,,O,,CIF,EUR,,,,71240.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1835.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,,,2025-05-10,,,,,,,,,,,,,,1,Port → Site
534,HVDC-ADOPT-SIM-0076-D,E04-1,HVDC-ADOPT-SIM-0076-D,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_SHDC,O,,O,,CIF,EUR,,,,71240.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1850.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,,2025-05-10,,,,,,,,,,,,,,,1,Port → Site
535,HVDC-ADOPT-SCT-0100,E08,HVDC-ADOPT-SCT-0100,2025-05-08,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,,,FOB,USD,3000.0,1768.92,4.77,4773.69,KOREA,Incheon,Abu Dhabi Airport,ELA2505051,EY823,,A,1,,,,,,,,,,,,,,,,,0.0,,,,392.0,0.97,0.97,,2025-05-08,2025-05-08,2025-05-08,2025-05-08,2025-12-17,2025-05-08,2025-05-09,2025-05-09,47150.0,877.0,920.0,2025-05-14,,,,,,,,,,,,,,,1,Port → Site
553,HVDC-ADOPT-SCT-0099,E08,HVDC-ADOPT-SCT-0099,2025-05-08,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,,,FOB,USD,70500.0,19337.9,89.84,89927.74,KOREA,Incheon,Abu Dhabi Airport,ELA2505050,EY323,,A,9,,,,,,,,,,,,,,,,,0.0,,,,4290.0,19.57,19.57,,2025-05-09,2025-05-09,2025-05-11,2025-05-11,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,16514.0,17339.0,2025-05-17,,,,,,,,,,,,,,,1,Port → Site
585,HVDC-ADOPT-SIM-0080-C,E04-1,HVDC-ADOPT-SIM-0080-C,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_MRPS,,,O,,CIF,EUR,,,,29235.0,India,Visakhapatnam,Khalifa port,RSLDWC250339,MSC Sabrina,,C,20,,,,,,,,,,,,,,,,,0.0,,,,2714.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,,,,2025-06-03,,,,,,,,,,,,,,1,Port → Site
586,HVDC-ADOPT-SIM-0080-D,E04-1,HVDC-ADOPT-SIM-0080-D,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_SHPS,O,,,,CIF,EUR,,,,29235.0,India,Visakhapatnam,Khalifa port,RSLDWC250340,MSC Sabrina,,C,20,,,,,,,,,,,,,,,,,0.0,,,,2714.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,,,2025-06-03,,,,,,,,,,,,,,,1,Port → Site
588,HVDC-ADOPT-SCT-0104,E08,HVDC-ADOPT-SCT-0104,2025-05-20,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,,,,FOB,USD,518.06,265.0,30.0,813.06,CHINA,Shanghai,Abu Dhabi Airport,20250147,MU237,,A,1,,,,,,,,,,,,,,,,,0.0,,,,53.0,0.19,0.19,,2025-05-26,2025-05-26,2025-05-29,2025-05-29,,2025-05-30,2025-05-30,2025-05-30,47150.0,150.0,157.0,2025-06-04,,,,,,,,,,,,,,,1,Port → Site
623,HVDC-ADOPT-SCT-0116,E08,HVDC-ADOPT-SCT-0116,2025-06-05,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,,O,,FOB,USD,347739.19,13416.43,695.48,361851.1,SWEDEN,Stockholm,Abu Dhabi Airport,AF208123,QR0168,,A,8,,,,,,,,,,,,,,,,,0.0,,,,4313.0,6.34,6.34,,2025-06-15,2025-06-15,2025-06-19,2025-06-19,2025-11-30,2025-06-19,2025-06-19,2025-06-19,47150.0,66447.0,69767.0,2025-06-21,2025-06-21,,,,,,,,,,,,,,1,Port → Site
645,HVDC-ADOPT-SCT-0095,E08,HVDC-ADOPT-SCT-0095,2025-05-10,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 3rd,O,,,,FOB,USD,9410.26,1600.0,121.11,11131.37,KOREA,Busan Port,Khalifa port,SEL00000093,HMM MIR,Deugro,C,1,,,,,,,,,,,,,,,,,0.0,,,,640.0,2.25,2.25,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-30,2025-06-30,47150.0,,,2025-07-16,,,,,,,,,,,,,,,1,Port → Site
658,HVDC-ADOPT-SCT-0097-2,E08,HVDC-ADOPT-SCT-0097-2,2025-06-01,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,26400.0,800.0,299.2,27499.2,KOREA,Busan Port,Khalifa port,SEL00000225,HMM HANBADA,Deugro,C,5,1.0,,,,,,,,,,,,,,,,1.0,,,,3226.0,6.91,6.91,,2025-06-01,2025-06-01,2025-07-10,2025-07-10,2025-12-17,2025-07-09,2025-07-10,2025-07-10,47150.0,5050.0,5302.0,2025-07-28,2025-07-28,,,,,,,,,,,,,,1,Port → Site
683,HVDC-ADOPT-SCT-0113,E08,HVDC-ADOPT-SCT-0113,2025-06-20,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,18200.0,1600.0,217.8,20017.8,KOREA,Busan Port,Khalifa port,SEL00000385,HMM GARAM,Deugro,C,10,,,1.0,,,,,,,,,,,,,,1.0,,,,8862.0,22.26,22.26,,2025-06-21,2025-06-21,2025-07-28,2025-07-28,2025-12-17,2025-07-29,2025-07-31,2025-07-31,47150.0,3676.0,3860.0,2025-08-05,2025-08-07,,,,,,,,,,,,,,1,Port → Site
685,HVDC-ADOPT-SCT-0112,E08,HVDC-ADOPT-SCT-0112,2025-06-24,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,18200.0,800.0,209.0,19209.0,KOREA,Busan Port,Khalifa port,SEL00000426,HMM NURI,Deugro,C,3,1.0,,,,,,,,,,,,,,,,1.0,,,,2180.0,4.02,4.02,,2025-06-24,2025-06-24,2025-08-03,2025-08-03,2025-11-30,2025-08-04,2025-08-04,2025-08-04,47150.0,3528.0,3704.0,2025-08-07,2025-08-07,,,,,,,,,,,,,,1,Port → Site
717,HVDC-ADOPT-SCT-0125,E08,HVDC-ADOPT-SCT-0125,2025-07-08,5000801061,Arab Steel,Elec,Communication & Security System,Anchor Bolt with Template,O,,,,FOB,USD,458.0,615.0,61.5,1134.5,Egypt,Kairo,Abu Dhabi Airport,DGL4736,ES0190,,A,1,,,,,,,,,,,,,,,,,0.0,,,,205.0,0.25,0.25,,2025-07-21,2025-07-21,2025-07-22,2025-07-22,,2025-08-13,2025-08-13,2025-08-13,47150.0,209.0,219.0,2025-08-14,,,,,,,,,,,,,,,1,Port → Site
718,HVDC-ADOPT-SCT-0120,E08,HVDC-ADOPT-SCT-0120,2025-07-12,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,31750.0,4000.0,393.25,36143.25,KOREA,Busan Port,Khalifa port,SEL00000550,HMM DAON,Deugro,C,10,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,18708.0,39.85,39.85,,2025-07-12,2025-07-12,2025-08-14,2025-08-14,2025-11-30,2025-08-15,2025-08-15,2025-08-15,47150.0,6637.0,6969.0,2025-08-26,2025-08-26,,,,,,,,,,,,,,1,Port → Site
781,HVDC-ADOPT-SCT-0123,E08,HVDC-ADOPT-SCT-0123,2025-08-09,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,,,O,,FOB,USD,17180.0,1600.0,206.58,18986.58,KOREA,Busan Port,Khalifa port,SEL00000771,HMM Hambada,Deugro,C,2,,,1.0,,,,,,,,,,,,,,1.0,,,,540.0,1.76,1.76,,2025-08-09,2025-08-09,2025-09-12,2025-09-12,2025-09-21,2025-09-12,2025-09-17,2025-09-17,47150.0,30459.0,80181.0,,2025-09-23,,,,,,,,,,,,,,1,Port → Site
790,HVDC-ADOPT-PPL-0020,E02,HVDC-ADOPT-PPL-0020,2025-09-26,5000675246,Prysmian,Elec,320kV HVDC Cable System,REFURBISHMENT KIT FOR CIT4229621070 (Straight Joint - GMC),,,,,CIF,EUR,2912.0,568.0,17.5,3497.5,Italy,Malpensa,Abu Dhabi Airport,607-37987994,EY082,,A,4,,,,,,,,,,,,,,,,,0.0,,,,145.0,0.3,0.3,,2025-10-01,2025-10-01,2025-10-01,2025-10-01,2025-10-14,2025-10-02,2025-10-02,2025-10-02,47150.0,756.0,793.0,,2025-10-06,,,,,,,,,,,,,,1,Port → Site
