NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
48,HVDC-ADOPT-PPL-0011,E02,HVDC-ADOPT-PPL-0011,2024-02-15,5000675246,Prysmian,Elec,320kV HVDC Cable System,End Caps for Subsea Cable,O,,,,DAP,EUR,35100.0,450.0,487.44,36037.44,FRANCE,CDG,Abu Dhabi Airport,607-31252196,Etihad Airways,Scan Global Logistics AB,A,1,,,,,,,,,,,,,,,,,0.0,,,,50.0,1.31,1.31,,2024-02-19,2024-02-19,2024-02-28,2024-02-28,2024-02-15,2024-03-05,2024-03-05,2024-03-05,47150.0,7179.0,7538.0,,,,,,,,,2024-03-06,,,,,,,2,Port → WH → Site
49,HVDC-ADOPT-PPL-0012,E02,HVDC-ADOPT-PPL-0012,2024-02-23,5000675246,Prysmian,Elec,320kV HVDC Cable System,Outer Sheath Repair Kit for Subsea Cable - HVDC and Telecom,,,,,DAP,EUR,48587.0,4800.0,5034.16,58421.16,FRANCE,CDG,Abu Dhabi Airport,057-72107851,CASS ITALY,Aprile Spa - Milano,A,9,,,,,,,,,,,,,,,,,0.0,9.0,,,690.0,4.64,4.64,,2024-02-29,2024-02-29,2024-03-01,2024-03-01,2024-02-28,2024-03-05,2024-03-05,2024-03-05,47150.0,11638.0,12220.0,,2025-11-24,,,,,,,2024-03-10,,,,,,,2,Port → WH → Site
50,HVDC-ADOPT-PPL-0013,E02,HVDC-ADOPT-PPL-0013,2024-02-27,5000675246,Prysmian,Elec,320kV HVDC Cable System,FO Land Termination and Cleats,,,,,DAP,EUR,121290.6,3514.0,1334.2,126138.8,UK,London,Abu Dhabi Airport,607-33358732,EY0026,,A,2,,,,,,,,,,,,,,,,,0.0,,,,502.0,2.97,2.97,,2024-02-28,2024-03-01,2024-03-02,2024-03-02,2024-02-29,2024-03-05,2024-03-05,2024-03-05,47150.0,25128.0,26384.0,,,,,,,,,2024-03-06,,,,,,,2,Port → WH → Site
51,HVDC-ADOPT-SCT-0001,E08,HVDC-ADOPT-SCT-0001,2024-02-15,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (1st),O,,O,,FOB,USD,38253.9,1020.0,535.55,39809.45,KOREA,Busan Port,Khalifa port,290-700-2402-027,YM WIDTH,,C,10,,,1.0,,,,,,,,,,,,,,1.0,,,,3408.0,11.24,11.24,,2024-02-15,2024-02-15,2024-03-22,2024-03-22,2024-02-16,2024-03-19,2024-03-21,2024-03-21,47150.0,5370.0,7579.0,2024-03-28,,,,,,,,,,,,,,,1,Port → Site
52,HVDC-ADOPT-SCT-0002,M01,HVDC-ADOPT-SCT-0002,2024-04-23,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (1st),O,O,,,FOB,USD,85700.0,7200.0,1030.0,93930.0,MALAYSIA,Port Klang,Khalifa port,KUL00001170,ALS FLORA,,C,16,1.0,,1.0,,,,,,,2.0,,,,,,,4.0,,,,15149.0,59.3,59.3,,2024-04-25,2024-04-25,2024-05-11,2024-05-11,2024-05-03,2024-05-13,2024-05-13,2024-05-13,47150.0,17248.0,18110.0,2024-05-16,,2024-05-15,,,,,,,,,,,,,1,Port → Site
53,HVDC-ADOPT-SEI-0001,E03,HVDC-ADOPT-SEI-0001,2024-02-20,5000684244,Sumitomo,Elec,400kV HVDC Cable System,MRC Cable with Static tank,O,O,,,CIF,JPY,5232598066.0,80408640.0,73109560.0,5386116266.0,JAPAN,Osaka,Mina Zayed,UHLF23199OSMI002,UHL Falcon,,B,5,,,,,,,,,,,,,,,,,0.0,,"4,242.88",,4465493.4,4116.48,4465.49,,2024-02-20,2024-02-20,2024-03-19,2024-03-19,2024-03-08,2024-03-25,2024-03-25,2024-03-25,47150.0,6541169.0,6868227.0,,,,,,,,,2024-03-28,,,,,,,2,Port → WH → Site
54,HVDC-ADOPT-SEI-0002,E03,HVDC-ADOPT-SEI-0002,2024-02-20,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Land & Spare Cable,O,O,,,CIF,JPY,197471824.0,6867252.6,3045676.96,207384753.6,JAPAN,Osaka,Mina Zayed,UHLF23199OSMI001,UHL Falcon,,B,5,,,,,,,,,,,,,,,,,0.0,,404.6,,127772.0,152.54,152.54,,2024-02-20,2024-02-20,2024-03-19,2024-03-19,2024-03-07,2024-03-25,2024-03-25,2024-03-25,47150.0,251859.0,264451.0,,,,,,,,,2024-04-08,,,,,,,2,Port → WH → Site
55,HVDC-ADOPT-SIM-0001,E04-1,HVDC-ADOPT-SIM-0001,2024-01-24,SCT-19LT-PRC-PO-005,EUPEN,Elec,400kV and 132kV New Converter GIS,LV Cable,O,O,O,O,CIF,EUR,227859.48,4320.0,3247.89,235427.37,BELGIUM,Antwerp,Khalifa port,MEDUAX400529,Eugen Maersk,,C,28,,,2.0,,,,,,,,,,,,,,2.0,,,,26633.0,55.22,55.22,,2024-01-25,2024-02-09,2024-03-14,2024-03-14,2024-03-07,2024-03-14,2024-03-15,2024-03-15,47150.0,47149.0,49506.0,2024-03-28,2024-04-18,2024-04-04,2024-04-04,,2024-03-20,,,,,2024-03-26,,,,,3,Port → WH → MOSB → Site
122,HVDC-ADOPT-PPL-0014,E02,HVDC-ADOPT-PPL-0014,2024-03-14,5000675246,Prysmian,Elec,320kV HVDC Cable System,Minisub FOC Subsea Fiber Optic Cable (up to 96 fibres),,,,,CIF,EUR,36400.0,1920.0,380.0,38700.0,GERMANY,Hamburg,Khalifa port,237468392,Ane Maersk,Trans Global,C,1,,,,,1.0,,,,,,,,,,,,1.0,,,,8045.0,21.55,21.55,,2024-03-29,2024-03-29,2024-05-06,2024-05-06,2024-04-12,2024-05-06,2024-05-07,2024-05-07,47150.0,0.0,7663.0,,,,,,,,,2024-05-08,,,,,,,2,Port → WH → Site
152,HVDC-ADOPT-SEI-0003,E03,HVDC-ADOPT-SEI-0003,2024-05-30,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DAS Land and Spare Cable,,O,,,CIF,JPY,,,,250393774.0,JAPAN,Kobe,Khalifa port,KKLUCVK1000766,California Highway,,B,7,,,,,,,,,,,,,,,,,0.0,,,,160605.0,270.72,270.72,,2024-05-06,2024-05-06,2024-06-20,2024-06-20,2024-06-18,2024-06-20,2024-06-22,2024-06-22,47150.0,288792.0,303231.0,,,,,,,,,2024-06-28,,,,,,,2,Port → WH → Site
165,HVDC-ADOPT-SCT-0003,E08,HVDC-ADOPT-SCT-0003,2024-05-22,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (2nd),O,O,O,O,FOB,USD,61300.84,1475.2,774.56,63550.6,KOREA,Busan Port,Khalifa port,290-700-2405-015,AL NASRIYAH,,C,12,,,1.0,,,,,,,,,,,,,,1.0,,,,4105.0,16.98,16.98,,2024-05-22,2024-05-22,2024-07-04,2024-07-04,2024-05-28,2024-07-03,2024-07-04,2024-07-04,47150.0,7965.0,12068.0,2024-08-07,,2024-07-14,,,2024-07-09,,,,,2024-07-09,,,,,3,Port → WH → MOSB → Site
168,HVDC-ADOPT-SCT-0004,M01,HVDC-ADOPT-SCT-0004,2024-06-04,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (2nd),O,,,O,FOB,USD,56460.0,3900.0,846.9,61206.9,MALAYSIA,Port Klang,Khalifa port,KUL00001329,TS KEELUNG,,C,13,,2.0,,,,,,,,,,,,,,,2.0,,,,7122.0,27.47,27.47,,2024-06-21,2024-06-21,2024-07-19,2024-07-19,2024-07-03,2024-07-23,2024-07-23,2024-07-23,47150.0,11240.0,11801.0,2024-07-30,,,2024-08-14,,,,,,,,,,,,1,Port → Site
169,HVDC-ADOPT-SCT-0005,E08,HVDC-ADOPT-SCT-0005,2024-06-01,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (1st),,O,,O,FOB,USD,143228.39,12600.0,1718.74,157547.13,KOREA,Busan Port,Khalifa port,290-700-2405-188,YM WELLHEAD,,C,37,,,7.0,,,,,,,,,,,,,,7.0,,,,85147.0,392.11,392.11,,2024-06-01,2024-06-01,2024-07-18,2024-07-18,2024-06-11,2024-07-19,2024-07-19,2024-07-19,47150.0,28930.0,30376.0,,,2024-08-28,,,,,,,,2024-08-26,,,,,2,Port → WH → Site
173,HVDC-ADOPT-SEI-0005,E03,HVDC-ADOPT-SEI-0005,2024-06-06,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Fiber Optic Subsea Cable,,O,,,CIF,EUR,5283300.24,125000.0,63399.6,5471699.84,Norway,Rognan,Mina Zayed,290-700-2405-180,BBC AUSTRIA,BIMCO,B,4,,,,,,,,,,,,,,,,,0.0,,,,496254.0,575.35,575.35,,2024-06-06,2024-06-06,2024-07-15,2024-07-15,2024-06-21,2024-07-12,2024-07-12,2024-07-12,47150.0,113456.0,1100162.0,,2025-12-04,,,,,,,2024-07-25,,,,,,,2,Port → WH → Site
180,HVDC-ADOPT-SCT-0007,M01,HVDC-ADOPT-SCT-0007,2024-06-18,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (3rd),,,O,O,FOB,USD,52090.0,3800.0,781.35,56671.35,MALAYSIA,Port Klang,Khalifa port,KUL00001327,TS KEELUNG,,C,15,,2.0,,,,,,,,,,,,,,,2.0,,,,9192.0,32.51,32.51,,2024-06-29,2024-06-29,2024-07-19,2024-07-19,2024-07-03,2024-07-23,2024-07-23,2024-07-23,47150.0,10407.0,10927.0,,2024-07-30,,,,,,,,,2024-07-30,,,,,2,Port → WH → Site
181,HVDC-ADOPT-SCT-0008,M01,HVDC-ADOPT-SCT-0008,2024-06-04,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (4th),,,O,O,FOB,USD,65400.0,3800.0,981.0,70181.0,MALAYSIA,Port Klang,Khalifa port,KUL00001351,TONSBERG,,C,5,,,,,,,,,,,,2.0,,,,,2.0,,,,9300.0,38.78,38.78,,2024-06-28,2024-06-28,2024-07-25,2024-07-25,2024-07-10,2024-07-25,2024-07-26,2024-07-26,47150.0,12887.0,13531.0,,2024-07-30,,,,,,,,,,,,,,1,Port → Site
182,HVDC-ADOPT-SEI-0004-1,E03,HVDC-ADOPT-SEI-0004-1,2024-06-19,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DC400kv Subsea Cable,,,,,CIF,JPY,,,,5948455710.0,JAPAN,Hitachi,Mina Zayed,290-700-2406-092-1,UHL Force,,B,3,,,,,,,,,,,,,,,,,0.0,,,,5475234.0,4479.9,5475.23,,2024-06-19,2024-06-19,2024-07-10,2024-07-10,2024-07-02,2024-07-05,2024-07-07,2024-07-07,47150.0,6771426.0,7109996.0,,,,,,,,,2024-08-13,,,,,,,2,Port → WH → Site
183,HVDC-ADOPT-SEI-0004-2,E03,HVDC-ADOPT-SEI-0004-2,2024-06-19,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Frame & Slope of Static Tank,,,,,CIF,JPY,,,,52200000.0,JAPAN,Hitachi,Mina Zayed,290-700-2406-092-2,UHL Force,,B,3,,,,,,,,,,,,,,,,,0.0,,,,88155.2,347.3,347.3,,2024-06-19,2024-06-19,2024-07-10,2024-07-10,2024-07-02,2024-07-05,2024-07-07,2024-07-07,47150.0,59422.0,62393.0,,,,,,,,,2024-08-13,,,,,,,2,Port → WH → Site
189,HVDC-ADOPT-SCT-0006,E08,HVDC-ADOPT-SCT-0006,2024-06-19,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (2nd),O,,O,,FOB,USD,146515.9,14400.0,1758.19,162674.09,KOREA,Busan Port,Khalifa port,290-700-2406-028,HMM DREAM,,C,38,1.0,,7.0,,,,,,,,,,,,,,8.0,,,,84803.0,369.36,369.36,,2024-06-19,2024-06-19,2024-07-30,2024-07-30,2024-06-21,2024-07-30,2024-07-30,2024-07-30,47150.0,29872.0,31365.0,2024-08-12,2024-08-12,,,,,,,,,,,,,,1,Port → Site
190,HVDC-ADOPT-SEI-0007,E03,HVDC-ADOPT-SEI-0007,2024-07-31,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Repair Joint (2nd),,,,,CIP,JPY,,,,74400.0,JAPAN,Osaka,Abu Dhabi Airport,607-3400-0002,EY815,,A,9,,,,,,,,,,,,,,,,,0.0,,,,42.0,0.27,0.27,,2024-07-31,2024-07-31,2024-07-31,2024-07-31,2024-07-31,2024-08-01,2024-08-01,2024-08-01,47150.0,93.0,96.0,2026-01-17,,,,,,,,,2024-08-03,,,,,,2,Port → WH → Site
212,HVDC-ADOPT-SCT-0009,E08,HVDC-ADOPT-SCT-0009,2024-07-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (3rd),,O,,,FOB,USD,225751.4,19800.0,2709.02,248260.42,KOREA,Busan Port,Khalifa port,290-700-2406-154,HMM GAON,,C,68,1.0,,13.0,,,,,,,,,,,,,,14.0,,,,168787.0,665.53,665.53,,2024-07-03,2024-07-05,2024-08-12,2024-08-12,2024-07-08,2024-08-13,2024-08-13,2024-08-13,47150.0,45587.0,47866.0,,,2024-12-18,,,,,,,,2024-09-16,,,,,2,Port → WH → Site
214,HVDC-ADOPT-SCT-0010,M01,HVDC-ADOPT-SCT-0010,2024-07-08,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (5th),O,O,,O,FOB,USD,141370.0,7520.0,2120.55,151010.55,MALAYSIA,Port Klang,Khalifa port,KUL00001355,MSC GENERAL IV,Alpha Maritime,C,26,,,4.0,,,,,,,,,,,,,,4.0,,,,20980.0,74.71,74.71,,2024-07-12,2024-07-12,2024-08-08,2024-08-08,2024-07-16,2024-08-09,2024-08-09,2024-08-09,47150.0,27730.0,29116.0,2025-01-16,,2025-01-12,2025-01-15,,,,,,,2025-01-14,,,,,2,Port → WH → Site
227,HVDC-ADOPT-SCT-0013,E08,HVDC-ADOPT-SCT-0013,2024-07-19,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (4th),O,,O,,FOB,USD,323098.2,25600.0,3877.18,352575.38,KOREA,Busan Port,Khalifa port,290-700-2407-079,HMM RAON,Deugro,C,78,,,16.0,,,,,,,,,,,,,,16.0,,,,219962.0,867.79,867.79,,2024-07-19,2024-07-19,2024-08-28,2024-08-28,2024-07-26,2024-08-26,2024-08-27,2024-08-27,47150.0,64742.0,67979.0,2024-09-14,2024-09-06,,,,,,,,,,,,,,1,Port → Site
229,HVDC-ADOPT-SCT-0014,E08,HVDC-ADOPT-SCT-0014,2024-08-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (5th),O,,O,O,FOB,USD,371474.79,33000.0,4457.7,408932.49,KOREA,Busan Port,Khalifa port,290-700-2407-153,AL NASRIYAH,Deugro,C,82,,,15.0,,,,,,,,,,,,,,15.0,,,,187023.0,630.17,630.17,,2024-08-05,2024-08-05,2024-09-10,2024-09-10,2025-04-16,2024-09-10,2024-09-10,2024-09-10,47150.0,75091.0,78845.0,2024-09-27,2024-11-04,,2025-06-11,,,,,,,2025-01-09,,,,,2,Port → WH → Site
238,HVDC-ADOPT-ZEN-0001,,HVDC-ADOPT-ZEN-0001,2024-08-24,7772400288,Fluid Pumps,Mech,,Grooved Fittings,,,,,CIF,USD,,,,38677.48,India,Tuticorin,Khalifa port,SKFTUTAUH242180,SSL KRISHNA,Sky Shipping Line,C,13,1.0,,,,,,,,,,,,,,,,1.0,,,,8069.43,12.32,12.32,,2024-08-31,2024-08-31,2024-09-16,2024-09-16,2025-04-16,2024-09-27,2024-09-28,2024-09-28,47150.0,7103.0,7457.0,,,,,,,,,,,,,2024-10-02,,,2,Port → WH → Site
239,HVDC-ADOPT-SEI-0006,E03,HVDC-ADOPT-SEI-0006,2024-08-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Repair Joint (1st),,,,,CIF,JPY,94003600.0,380000.0,1128043.2,95511643.2,JAPAN,Kobe,Khalifa port,290-700-2407-101,UNI-PRUDENT,Deugro,C,20,2.0,,,,,,,,,,,,,,,,2.0,,,,15040.0,59.25,59.25,,2024-08-13,2024-08-13,2024-09-22,2024-09-22,2025-04-10,2024-09-30,2024-09-30,2024-09-30,47150.0,123053.0,129205.0,2025-11-20,,,,,,,,2024-10-11,,,,,,,2,Port → WH → Site
240,HVDC-ADOPT-SEI-0012,E03,HVDC-ADOPT-SEI-0012,2024-08-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Armour Clamp,,,,,CIF,JPY,37321000.0,112000.0,447852.0,37880852.0,NETHERLANDS,Rotterdam,Khalifa port,290-700-2408-054,MSC Loreto,Deugro,C,8,1.0,,,,,,,,,,,,,,,,1.0,,,,1420.0,5.12,5.12,,2024-08-13,2024-08-13,2024-09-25,2024-09-25,2025-04-10,2024-09-30,2024-10-01,2024-10-01,47150.0,48615.0,51045.0,,,,,,,,,2024-10-08,,,,,,,2,Port → WH → Site
241,HVDC-ADOPT-ZEN-0002,,HVDC-ADOPT-ZEN-0002,2024-09-09,7772400288,SCHRACK SECONET,Elec,,Parts of Aspiration System,,,,,CIP,EUR,,,,18080.59,Great Britain,Viena,Abu Dhabi Airport,176-95202892,Emirates,Emirates,A,3,,,,,,,,,,,,,,,,,0.0,,,,1444.0,8.18,8.18,,2024-09-23,2024-09-23,2024-09-25,2024-09-25,2025-04-16,2024-09-25,2024-09-25,2024-09-25,47150.0,4501.0,4726.0,,,,,,,,,,,,,2024-09-27,,,2,Port → WH → Site
242,HVDC-ADOPT-PPL-0015,E02,HVDC-ADOPT-PPL-0015,2024-08-01,5000675246,Prysmian,Elec,320kV HVDC Cable System,Spare Subsea Cable and Reel,,,,,CIF,EUR,1060296.42,10400.0,14102.38,1084798.8,Italy,Salermo,Khalifa port,MEDUJ9882468,MSC Polina,,B,3,,,,,,,,,,,,,,,,,0.0,,,,110630.0,216.9,216.9,,2024-08-13,2024-08-13,2024-09-26,2024-09-26,2025-04-17,2024-09-26,2024-09-26,2024-09-26,47150.0,222866.0,234008.0,,,,,,,,,2024-10-04,,,,,,,2,Port → WH → Site
245,HVDC-ADOPT-SCT-0016,E08,HVDC-ADOPT-SCT-0016,2024-08-30,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (6th),,,O,O,FOB,USD,357177.36,22400.0,4286.13,383863.49,KOREA,Busan Port,Khalifa port,290-700-2408-124,HMM HANUL,Deugro,C,80,,,14.0,,,,,,,,,,,,,,14.0,,,,195066.0,623.03,623.03,,2024-08-30,2024-08-30,2024-10-04,2024-10-04,,2024-10-03,2024-10-04,2024-10-04,47150.0,70487.0,74011.0,,2024-11-04,2025-06-30,2025-05-21,,2024-10-06,,,,,2025-01-15,,,,,3,Port → WH → MOSB → Site
