NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
50,HVDC-ADOPT-PPL-0013,E02,HVDC-ADOPT-PPL-0013,2024-02-27,5000675246,Prysmian,Elec,320kV HVDC Cable System,FO Land Termination and Cleats,,,,,DAP,EUR,121290.6,3514.0,1334.2,126138.8,UK,London,Abu Dhabi Airport,607-33358732,EY0026,,A,2,,,,,,,,,,,,,,,,,0.0,,,,502.0,2.97,2.97,,2024-02-28,2024-03-01,2024-03-02,2024-03-02,2024-02-29,2024-03-05,2024-03-05,2024-03-05,47150.0,25128.0,26384.0,,,,,,,,,2024-03-06,,,,,,,2,Port → WH → Site
53,HVDC-ADOPT-SEI-0001,E03,HVDC-ADOPT-SEI-0001,2024-02-20,5000684244,Sumitomo,Elec,400kV HVDC Cable System,MRC Cable with Static tank,O,O,,,CIF,JPY,5232598066.0,80408640.0,73109560.0,5386116266.0,JAPAN,Osaka,Mina Zayed,UHLF23199OSMI002,UHL Falcon,,B,5,,,,,,,,,,,,,,,,,0.0,,"4,242.88",,4465493.4,4116.48,4465.49,,2024-02-20,2024-02-20,2024-03-19,2024-03-19,2024-03-08,2024-03-25,2024-03-25,2024-03-25,47150.0,6541169.0,6868227.0,,,,,,,,,2024-03-28,,,,,,,2,Port → WH → Site
54,HVDC-ADOPT-SEI-0002,E03,HVDC-ADOPT-SEI-0002,2024-02-20,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Land & Spare Cable,O,O,,,CIF,JPY,197471824.0,6867252.6,3045676.96,207384753.6,JAPAN,Osaka,Mina Zayed,UHLF23199OSMI001,UHL Falcon,,B,5,,,,,,,,,,,,,,,,,0.0,,404.6,,127772.0,152.54,152.54,,2024-02-20,2024-02-20,2024-03-19,2024-03-19,2024-03-07,2024-03-25,2024-03-25,2024-03-25,47150.0,251859.0,264451.0,,,,,,,,,2024-04-08,,,,,,,2,Port → WH → Site
122,HVDC-ADOPT-PPL-0014,E02,HVDC-ADOPT-PPL-0014,2024-03-14,5000675246,Prysmian,Elec,320kV HVDC Cable System,Minisub FOC Subsea Fiber Optic Cable (up to 96 fibres),,,,,CIF,EUR,36400.0,1920.0,380.0,38700.0,GERMANY,Hamburg,Khalifa port,237468392,Ane Maersk,Trans Global,C,1,,,,,1.0,,,,,,,,,,,,1.0,,,,8045.0,21.55,21.55,,2024-03-29,2024-03-29,2024-05-06,2024-05-06,2024-04-12,2024-05-06,2024-05-07,2024-05-07,47150.0,0.0,7663.0,,,,,,,,,2024-05-08,,,,,,,2,Port → WH → Site
152,HVDC-ADOPT-SEI-0003,E03,HVDC-ADOPT-SEI-0003,2024-05-30,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DAS Land and Spare Cable,,O,,,CIF,JPY,,,,250393774.0,JAPAN,Kobe,Khalifa port,KKLUCVK1000766,California Highway,,B,7,,,,,,,,,,,,,,,,,0.0,,,,160605.0,270.72,270.72,,2024-05-06,2024-05-06,2024-06-20,2024-06-20,2024-06-18,2024-06-20,2024-06-22,2024-06-22,47150.0,288792.0,303231.0,,,,,,,,,2024-06-28,,,,,,,2,Port → WH → Site
173,HVDC-ADOPT-SEI-0005,E03,HVDC-ADOPT-SEI-0005,2024-06-06,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Fiber Optic Subsea Cable,,O,,,CIF,EUR,5283300.24,125000.0,63399.6,5471699.84,Norway,Rognan,Mina Zayed,290-700-2405-180,BBC AUSTRIA,BIMCO,B,4,,,,,,,,,,,,,,,,,0.0,,,,496254.0,575.35,575.35,,2024-06-06,2024-06-06,2024-07-15,2024-07-15,2024-06-21,2024-07-12,2024-07-12,2024-07-12,47150.0,113456.0,1100162.0,,2025-12-04,,,,,,,2024-07-25,,,,,,,2,Port → WH → Site
182,HVDC-ADOPT-SEI-0004-1,E03,HVDC-ADOPT-SEI-0004-1,2024-06-19,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DC400kv Subsea Cable,,,,,CIF,JPY,,,,5948455710.0,JAPAN,Hitachi,Mina Zayed,290-700-2406-092-1,UHL Force,,B,3,,,,,,,,,,,,,,,,,0.0,,,,5475234.0,4479.9,5475.23,,2024-06-19,2024-06-19,2024-07-10,2024-07-10,2024-07-02,2024-07-05,2024-07-07,2024-07-07,47150.0,6771426.0,7109996.0,,,,,,,,,2024-08-13,,,,,,,2,Port → WH → Site
183,HVDC-ADOPT-SEI-0004-2,E03,HVDC-ADOPT-SEI-0004-2,2024-06-19,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Frame & Slope of Static Tank,,,,,CIF,JPY,,,,52200000.0,JAPAN,Hitachi,Mina Zayed,290-700-2406-092-2,UHL Force,,B,3,,,,,,,,,,,,,,,,,0.0,,,,88155.2,347.3,347.3,,2024-06-19,2024-06-19,2024-07-10,2024-07-10,2024-07-02,2024-07-05,2024-07-07,2024-07-07,47150.0,59422.0,62393.0,,,,,,,,,2024-08-13,,,,,,,2,Port → WH → Site
190,HVDC-ADOPT-SEI-0007,E03,HVDC-ADOPT-SEI-0007,2024-07-31,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Repair Joint (2nd),,,,,CIP,JPY,,,,74400.0,JAPAN,Osaka,Abu Dhabi Airport,607-3400-0002,EY815,,A,9,,,,,,,,,,,,,,,,,0.0,,,,42.0,0.27,0.27,,2024-07-31,2024-07-31,2024-07-31,2024-07-31,2024-07-31,2024-08-01,2024-08-01,2024-08-01,47150.0,93.0,96.0,2026-01-17,,,,,,,,,2024-08-03,,,,,,2,Port → WH → Site
238,HVDC-ADOPT-ZEN-0001,,HVDC-ADOPT-ZEN-0001,2024-08-24,7772400288,Fluid Pumps,Mech,,Grooved Fittings,,,,,CIF,USD,,,,38677.48,India,Tuticorin,Khalifa port,SKFTUTAUH242180,SSL KRISHNA,Sky Shipping Line,C,13,1.0,,,,,,,,,,,,,,,,1.0,,,,8069.43,12.32,12.32,,2024-08-31,2024-08-31,2024-09-16,2024-09-16,2025-04-16,2024-09-27,2024-09-28,2024-09-28,47150.0,7103.0,7457.0,,,,,,,,,,,,,2024-10-02,,,2,Port → WH → Site
239,HVDC-ADOPT-SEI-0006,E03,HVDC-ADOPT-SEI-0006,2024-08-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Repair Joint (1st),,,,,CIF,JPY,94003600.0,380000.0,1128043.2,95511643.2,JAPAN,Kobe,Khalifa port,290-700-2407-101,UNI-PRUDENT,Deugro,C,20,2.0,,,,,,,,,,,,,,,,2.0,,,,15040.0,59.25,59.25,,2024-08-13,2024-08-13,2024-09-22,2024-09-22,2025-04-10,2024-09-30,2024-09-30,2024-09-30,47150.0,123053.0,129205.0,2025-11-20,,,,,,,,2024-10-11,,,,,,,2,Port → WH → Site
240,HVDC-ADOPT-SEI-0012,E03,HVDC-ADOPT-SEI-0012,2024-08-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Armour Clamp,,,,,CIF,JPY,37321000.0,112000.0,447852.0,37880852.0,NETHERLANDS,Rotterdam,Khalifa port,290-700-2408-054,MSC Loreto,Deugro,C,8,1.0,,,,,,,,,,,,,,,,1.0,,,,1420.0,5.12,5.12,,2024-08-13,2024-08-13,2024-09-25,2024-09-25,2025-04-10,2024-09-30,2024-10-01,2024-10-01,47150.0,48615.0,51045.0,,,,,,,,,2024-10-08,,,,,,,2,Port → WH → Site
241,HVDC-ADOPT-ZEN-0002,,HVDC-ADOPT-ZEN-0002,2024-09-09,7772400288,SCHRACK SECONET,Elec,,Parts of Aspiration System,,,,,CIP,EUR,,,,18080.59,Great Britain,Viena,Abu Dhabi Airport,176-95202892,Emirates,Emirates,A,3,,,,,,,,,,,,,,,,,0.0,,,,1444.0,8.18,8.18,,2024-09-23,2024-09-23,2024-09-25,2024-09-25,2025-04-16,2024-09-25,2024-09-25,2024-09-25,47150.0,4501.0,4726.0,,,,,,,,,,,,,2024-09-27,,,2,Port → WH → Site
242,HVDC-ADOPT-PPL-0015,E02,HVDC-ADOPT-PPL-0015,2024-08-01,5000675246,Prysmian,Elec,320kV HVDC Cable System,Spare Subsea Cable and Reel,,,,,CIF,EUR,1060296.42,10400.0,14102.38,1084798.8,Italy,Salermo,Khalifa port,MEDUJ9882468,MSC Polina,,B,3,,,,,,,,,,,,,,,,,0.0,,,,110630.0,216.9,216.9,,2024-08-13,2024-08-13,2024-09-26,2024-09-26,2025-04-17,2024-09-26,2024-09-26,2024-09-26,47150.0,222866.0,234008.0,,,,,,,,,2024-10-04,,,,,,,2,Port → WH → Site
256,HVDC-ADOPT-SEI-0011,E03,HVDC-ADOPT-SEI-0011,2024-08-28,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DC400kv Subsea Cable,,,,,CIF,JPY,5177822000.0,794578668.0,17917202.0,5990317870.0,JAPAN,Hitachi,Mina Zayed,290-700-2409-100,UHL Fierce,Deugro,B,4,,,,,,,,,,,,,,,,,0.0,,,,5635154.0,4747.3,5635.15,,2024-09-18,2024-09-18,2024-10-07,2024-10-07,2025-04-16,2024-10-05,2024-10-07,2024-10-07,47150.0,7407328.0,7777694.0,,,,,,,,,2024-10-10,,,,,,,2,Port → WH → Site
284,HVDC-ADOPT-SEI-0008,E03,HVDC-ADOPT-SEI-0008,2024-09-15,5000684244,Sumitomo,Elec,400kV HVDC Cable System,"Transition joint, Link Box and Repair Joints",,,,,CIF,JPY,177117800.0,1150000.0,2125413.6,180393213.6,JAPAN,Kobe,Khalifa port,290-700-2408-002,Ever Balmy,Deugro,C,62,,,5.0,,,,,,,,,,,,,,5.0,,,,28266.0,120.57,120.57,,2024-09-16,2024-09-16,2024-11-04,2024-11-04,2025-04-16,2024-11-08,2024-11-08,2024-11-08,47150.0,215787.0,226576.0,,,,,,2024-11-18,,,,,,,,,,2,Port → WH → Site
285,HVDC-ADOPT-ZEN-0003,,HVDC-ADOPT-ZEN-0003,2024-10-01,7772440295,SCHRACK SECONET,Elec,,Fire Alarm System & Aspiration System & Accessories,,,,,CIP,EUR,,,,77727.64,Austria,Viena,Abu Dhabi Airport,615-06430421,QY4773,European Air Transpor,A,3,,,,,,,,,,,,,,,,,0.0,,,,349.0,4.16,4.16,,2024-10-31,2024-10-31,2024-11-06,2024-11-06,2025-04-16,2024-11-06,2024-11-06,2024-11-06,47150.0,1040.0,16391.0,,,,,,,,,,,,,2024-11-07,,,2,Port → WH → Site
286,HVDC-ADOPT-ZEN-0003,,HVDC-ADOPT-ZEN-0003,2024-10-01,7772440295,SCHRACK SECONET,Elec,,Fire Alarm System & Aspiration System & Accessories,,,,,CIP,EUR,,,,,Austria,Viena,Abu Dhabi Airport,615-06430421,QY4773,European Air Transpor,A,4,,,,,,,,,,,,,,,,,0.0,,,,467.0,,,,2024-10-31,2024-10-31,2024-11-07,2024-11-07,2025-04-16,2024-11-07,2024-11-07,2024-11-07,47150.0,,1.0,,,,,,,,,,,,,2024-11-07,,,2,Port → WH → Site
291,HVDC-ADOPT-ZEN-0007,,HVDC-ADOPT-ZEN-0007,2024-10-30,7772440296,SCHRACK SECONET,Elec,,Fire Alarm and Aspiration Sytem,,,,,CIP,EUR,,,,69683.2,Austria,Viena,Abu Dhabi Airport,607-35107763,EY154,Etihad,A,3,,,,,,,,,,,,,,,,,0.0,,,,550.0,3.87,3.87,,2024-11-12,2024-11-12,2024-11-12,2024-11-12,2025-04-17,2024-11-14,2024-11-14,2024-11-14,47150.0,490.0,14132.0,,,,,,,,,,,,,2024-11-15,,,2,Port → WH → Site
292,HVDC-ADOPT-SEI-0015,E03,HVDC-ADOPT-SEI-0015,2024-10-31,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DANGEROUS GOODS for CABLE ACCESSORIES,O,O,,,CIP,JPY,56800.0,22720.0,795.2,80315.2,JAPAN,Osaka,Abu Dhabi Airport,607-3633 0464,EY815,UCI Airfreight,A,13,,,,,,,,,,,,,,,,,0.0,,,,36.0,0.39,0.39,,2024-11-11,2024-11-11,2024-11-12,2024-11-12,,2024-11-12,2024-11-12,2024-11-12,47150.0,96.0,100.0,2026-01-17,,,,,,,,,2024-11-14,,,,,,2,Port → WH → Site
302,HVDC-ADOPT-SEI-0009,E03,HVDC-ADOPT-SEI-0009,2024-10-16,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DANGEROUS GOODS for CABLE ACCESSORIES,,,,,CIF,JPY,659200.0,171000.0,9173.71,839373.71,JAPAN,Kobe,Khalifa port,290-700-2410-022,EVER BLESS,,C,70,1.0,,,,,,,,,,,,,,,,1.0,,,,678.0,4.75,4.75,,2024-10-22,2024-10-22,2024-11-19,2024-11-19,2025-04-17,2024-11-22,2024-11-24,2024-11-24,47150.0,1002.0,1049.0,2026-01-17,,,,,,,,,2024-12-07,,,,,,2,Port → WH → Site
311,HVDC-ADOPT-ZEN-0009,,HVDC-ADOPT-ZEN-0009,2024-11-05,7772400288,Fluid Pumps,Mech,,Gate Valves,,,,,CIF,USD,,,,9360.0,India,Tuticorin,Khalifa port,FBLTAUH1124/00493,SSL Krishna,Freightbridge Logistics,C,2,,,,,,,,,,,,,,,,1.0,0.0,,,,1045.7,3.23,3.23,,2024-11-08,2024-11-08,2024-12-01,2024-12-01,2025-04-16,2024-12-07,2024-12-09,2024-12-09,47150.0,1719.0,1805.0,,,,,,,,,,,,,2024-12-10,,,2,Port → WH → Site
322,HVDC-ADOPT-SEI-0014,E03,HVDC-ADOPT-SEI-0014,2024-11-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Accessories,O,O,,,CIF,JPY,20470524.0,320415.0,207909.39,20998848.39,JAPAN,Kobe,Khalifa port,290-700-2411-033,CNC JAWA,Deugro,C,18,,,1.0,,,,,,,,,,,,,,1.0,,,,3221.0,21.14,21.14,,2024-11-13,2024-11-13,2024-12-11,2024-12-11,,2024-12-17,2024-12-17,2024-12-17,47150.0,25031.0,26282.0,2025-11-20,,,,,,,,2024-12-26,,,,,,,2,Port → WH → Site
323,HVDC-ADOPT-ZEN-0010,,HVDC-ADOPT-ZEN-0010,2024-11-13,7772400288,Fluid Pumps,Mech,,Gate Valves,,,,,CIF,USD,,,,18045.0,India,Tuticorin,Khalifa port,CCL202411AEAUH1385,SSL KAVERI,CCL,C,2,,,,,,,,,,,,,,,,1.0,0.0,,,,1751.25,3.18,3.18,,2024-11-23,2024-11-23,2024-12-12,2024-12-12,2025-04-17,2024-12-14,2024-12-16,2024-12-16,47150.0,3314.0,3479.0,,,,,,,,,,,,,2024-12-17,,,2,Port → WH → Site
326,HVDC-ADOPT-ZEN-0011,,HVDC-ADOPT-ZEN-0011,2024-11-12,53903,JINDAL,Elec,,Pipe Fittings,,,,,CIF,USD,,,,55323.0,India,Nhava Sheva,Khalifa port,RSLHYDSE5844,SCI Mumbai,,C,11,,,,,,,,,,,,,,,,1.0,0.0,,,,7846.0,6.65,7.85,,2024-12-04,2024-12-04,2024-12-15,2024-12-15,2025-04-14,2024-12-16,2025-01-02,2025-01-02,47150.0,10159.0,10667.0,,,,,,,,,,,,,2025-01-03,,,2,Port → WH → Site
327,HVDC-ADOPT-ZEN-0005,,HVDC-ADOPT-ZEN-0005,2024-10-10,7772440295,MASTICO,Elec,,Alarm Check Valves,,,,,CIF,USD,,,,6317.0,KOREA,Busan Port,Khalifa port,NAURDXB24110070,HMM HANUL,Nauri Logistics,C,5,,,,,,,,,,,,,,,,1.0,0.0,,,,484.0,4.26,4.26,,2024-11-02,2024-11-02,2024-12-18,2024-12-18,,2024-12-20,2024-12-23,2024-12-23,47150.0,1160.0,1218.0,,,,,,,,,,,,,2024-12-24,,,2,Port → WH → Site
337,HVDC-ADOPT-ZEN-0004,,HVDC-ADOPT-ZEN-0004,2024-09-04,,YANGZHOU,Mech,,Carbon Steel Seamless Pipe,,,,,CIF,USD,,,,230400.72,Shanghai,China,Khalifa port,HSHAUH2404475,MSC Paloma,World Calss Freight,C,113,,,7.0,,,,,,,,,,,,,,7.0,,,,171896.0,98.69,171.9,,2024-11-23,2024-11-23,2024-12-24,2024-12-24,2025-04-16,2025-01-14,2025-01-15,2025-01-15,47150.0,48654.0,51086.0,,,,,,,,,,,,,2025-01-16,,,2,Port → WH → Site
338,HVDC-ADOPT-SEI-0013,E03,HVDC-ADOPT-SEI-0013,2024-11-29,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Bend Restrictor,,,,,CIF,JPY,68812000.0,625000.0,763807.0,70200807.0,United Kingdom,London,Khalifa port,290-700-2411-121,Maersk Herrera,Deugro,C,40,,2.0,,,,,,,,,,,,,,,2.0,,,,25036.0,69.1,69.1,,2024-11-29,2024-11-29,2024-12-28,2024-12-28,2025-04-17,2024-12-31,2025-01-03,2025-01-03,47150.0,82153.0,86260.0,2025-11-20,,,,,,,,2025-01-14,,,,,,,2,Port → WH → Site
352,HVDC-ADOPT-ZEN-0012,,HVDC-ADOPT-ZEN-0012,2024-12-06,7772400288,Fluid Pumps,Mech,,Pipe Fittings & Nozzle,,,,,CIF,USD,,,,17438.37,India,Tuticorin,Khalifa port,7.57E+11,SSL Kaveri,Global Vission Shipping,C,3,,,,,,,,,,,,,,,,1.0,0.0,,,,1766.55,3.12,3.12,,2024-12-15,2024-12-15,2025-01-07,2025-01-07,2025-04-17,2025-01-10,2025-01-10,2025-01-10,47150.0,1546.0,3279.0,,,,,,,,,,,,,2025-01-13,,,2,Port → WH → Site
356,HVDC-ADOPT-SEI-0018,E03,HVDC-ADOPT-SEI-0018,2024-12-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Accessories(DG),,,,,CIF,JPY,85600.0,592.9,948.12,87141.02,JAPAN,Osaka,Khalifa port,UCI-10052402,EY815,,A,19,,,,,,,,,,,,,,,,,0.0,,,,55.0,0.57,0.57,,2025-01-10,2025-01-10,2025-01-10,2025-01-10,,2025-01-13,2025-01-13,2025-01-13,47150.0,103.0,106.0,2026-01-17,,,,,,,,,2025-01-27,,,,,,2,Port → WH → Site
357,HVDC-ADOPT-ZEN-0015,,HVDC-ADOPT-ZEN-0015,2024-12-23,7772400288,Fluid Pumps,Mech,,Pipe Fittings & Warning Sign,,,,,CIF,USD,,,,75080.34,India,Cochin,Khalifa port,CSX24COKAUH065662,Ever Brace,CSL,C,18,1.0,,,,,,,,,,,,,,,,1.0,,,,9503.12,17.15,17.15,,2024-12-26,2024-12-26,2025-01-10,2025-01-10,2025-04-17,2025-01-14,2025-01-15,2025-01-15,47150.0,13787.0,14476.0,,,,,,,,,,,,,2025-01-16,,,2,Port → WH → Site
