NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
267,HVDC-ADOPT-SCT-0017,M01,HVDC-ADOPT-SCT-0017,2024-09-21,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (6th),,O,O,O,FOB,USD,42590.0,1880.0,638.85,45108.85,MALAYSIA,Port Klang,Khalifa port,KUL00001504,MSC Hailey,Alpha Maritime,C,9,,,1.0,,,,,,,,,,,,,,1.0,,,,4500.0,17.65,17.65,,2024-09-21,2024-09-21,2024-10-15,2024-10-15,2025-04-17,2024-10-18,2024-10-18,2024-10-18,47150.0,8284.0,8697.0,,2024-10-28,,,,,,,,,2024-10-28,,,,,3,Port → WH → MOSB → Site
287,HVDC-ADOPT-SCT-0021,E08,HVDC-ADOPT-SCT-0021,2024-10-04,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (2nd),O,O,O,O,FOB,USD,45876.54,3500.0,545.61,49922.15,KOREA,Busan Port,Khalifa port,290-700-2409-168,ESL DANA,Deugro,C,12,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,12890.0,28.25,28.25,,2024-10-04,2024-10-04,2024-11-10,2024-11-10,2025-04-17,2024-11-14,2024-11-14,2024-11-14,47150.0,9168.0,9625.0,2024-11-24,2024-11-17,2024-12-06,2024-12-04,,,,,,,2024-11-21,,,,,3,Port → WH → MOSB → Site
319,HVDC-ADOPT-SCT-0022,E08,HVDC-ADOPT-SCT-0022,2024-11-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (8th),,O,O,,FOB,USD,216021.82,18400.0,2592.26,237014.08,KOREA,Busan Port,Khalifa port,290-700-2410-056,HMM HANUL,Deugro,C,69,,,11.0,,,,,,,,,,,,,,11.0,,,,136324.0,456.09,456.09,,2024-11-05,2024-11-05,2024-12-12,2024-12-12,2025-04-16,2024-12-12,2024-12-12,2024-12-12,47150.0,43522.0,45698.0,,2025-01-08,2025-02-14,,,,,,,,2025-01-03,,,,,3,Port → WH → MOSB → Site
324,HVDC-ADOPT-SCT-0025,E08,HVDC-ADOPT-SCT-0025,2024-11-07,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (9th),O,O,O,O,FOB,USD,208793.71,16800.0,2505.52,228099.23,KOREA,Busan Port,Khalifa port,290-700-2411-001,Rome Express,Deugro,C,67,,,10.0,,,,,,,,,,,,,,10.0,,,,96114.0,273.18,273.18,,2024-11-07,2024-11-07,2024-12-14,2024-12-14,2025-04-16,2024-12-20,2024-12-20,2024-12-20,47150.0,41885.0,43979.0,2025-01-08,2025-01-02,2025-04-28,2025-07-18,,,,,,,2025-01-02,,,,,3,Port → WH → MOSB → Site
328,HVDC-ADOPT-SCT-0011,E08,HVDC-ADOPT-SCT-0011,2024-11-16,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV, LV & Control Cable (1st)",,O,,,FOB,USD,942899.9,5600.0,11314.8,959814.7,KOREA,Busan Port,Khalifa port,290-700-2411-030,UMM QARN,Deugro,C,37,7.0,,,,,,,,,,,,,,,,7.0,,,,106087.0,135.48,135.48,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,2025-04-17,2024-12-17,2024-12-17,2024-12-17,47150.0,176246.0,185058.0,,,2025-04-19,,,,,,,,2024-12-26,,,,,3,Port → WH → MOSB → Site
330,HVDC-ADOPT-SCT-0024,E08,HVDC-ADOPT-SCT-0024,2024-11-16,5000771906,Gastron,Elec,Gas Detection System,Gas Detection System,O,O,O,O,FOB,USD,157470.0,800.0,1889.64,160159.64,KOREA,Busan Port,Khalifa port,290-700-2410-099,UMM QARN,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1990.0,13.33,13.33,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,2025-04-17,2024-12-20,2024-12-20,2024-12-20,47150.0,0.0,29409.0,2025-01-29,2025-02-05,2025-02-19,2025-02-19,,2024-12-26,,,,,2025-02-01,,,,,3,Port → WH → MOSB → Site
331,HVDC-ADOPT-SCT-0026,E08,HVDC-ADOPT-SCT-0026,2024-11-16,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (3rd),O,O,O,O,FOB,USD,385715.14,10400.0,4628.58,400743.72,KOREA,Busan Port,Khalifa port,290-700-2411-032,UMM QARN,Deugro,C,46,1.0,,6.0,,,,,,,,,,,,,,7.0,,,,123460.0,190.29,190.29,,2024-11-16,2024-11-16,2024-12-19,2024-12-19,,2024-12-20,2024-12-20,2024-12-20,47150.0,73588.0,77266.0,2025-01-09,2025-01-07,2025-01-25,2025-01-15,,2025-01-03,,,,,2025-01-15,,,,,3,Port → WH → MOSB → Site
332,HVDC-ADOPT-SCT-0040,E08,HVDC-ADOPT-SCT-0040,2024-12-10,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,,,FOB,USD,45620.65,0.0,0.0,45620.65,CHINA,Shanghai,Abu Dhabi Airport,LTKC24120238,QR150,,A,7,,,,,,,,,,,,,,,,,0.0,,,,2768.0,6.09,6.09,,2024-12-19,2024-12-19,2024-12-19,2024-12-19,2025-04-17,2024-12-20,2024-12-20,2024-12-20,47150.0,8378.0,8796.0,2025-01-03,,2025-01-09,,,,,,,,2024-12-25,,,,,3,Port → WH → MOSB → Site
333,HVDC-ADOPT-SCT-0041,E08,HVDC-ADOPT-SCT-0041,2024-10-04,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,,,FOB,USD,132024.12,0.0,0.0,132024.12,SWEDEN,Malmoe,Abu Dhabi Airport,SE24001825,OI7669T,,A,5,,,,,,,,,,,,,,,,,0.0,,,,1675.0,3.97,3.97,,2024-12-17,2024-12-17,2024-12-20,2024-12-20,2025-04-10,2024-12-24,2024-12-24,2024-12-24,47150.0,25163.0,26420.0,2025-01-03,,2025-01-09,,,,,,,,2024-12-25,,,,,3,Port → WH → MOSB → Site
339,HVDC-ADOPT-SCT-0030,E08,HVDC-ADOPT-SCT-0030,2024-11-24,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV, LV & Control Cable (3rd)",O,O,O,,FOB,USD,2772349.55,24000.0,33268.19,2829617.74,KOREA,Busan Port,Khalifa port,290-700-2411-098,HMM GAON,Deugro,C,171,14.0,,8.0,,,,,,,,,,,,,,22.0,,,,367431.0,450.76,450.76,,2024-11-23,2024-11-23,2024-12-31,2024-12-31,2025-04-16,2024-12-31,2025-01-03,2025-01-03,47150.0,519589.0,545568.0,2025-01-16,2025-02-01,2025-06-21,2025-09-06,,,,,,,2025-01-17,,,,,3,Port → WH → MOSB → Site
350,HVDC-ADOPT-SIM-0029,E04-1,HVDC-ADOPT-SIM-0029,2024-10-02,SCT-19LT-PRC-PO-004,EUPEN,Elec,400kV and 132kV New Converter GIS,Eupen Cables - SHDC GHDC and MRDC,O,,O,O,CIF,EUR,,,,49338.3,BELGIUM,Antwerp,Khalifa port,17413381A,CSCL NEPTUNE,SSC,C,7,1.0,,,,,,,,,,,,,,,,1.0,,,,6146.0,0.0,6.15,,2024-12-01,2024-12-01,2025-01-04,2025-01-04,2025-04-17,2025-01-07,2025-01-14,2025-01-14,47150.0,9245.0,9707.0,2025-01-29,2025-02-05,,2025-05-09,,,,,,,2025-02-01,,,,,3,Port → WH → MOSB → Site
353,HVDC-ADOPT-SCT-0031,E08,HVDC-ADOPT-SCT-0031,2024-12-03,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (10th),O,O,O,O,FOB,USD,345240.7,16800.0,4142.89,366183.59,KOREA,Busan Port,Khalifa port,290-700-2411-146,HMM Raon,Deugro,C,68,1.0,,9.0,,,,,,,,,,,,,,10.0,,,,87281.0,315.07,315.07,,2024-12-03,2024-12-03,2025-01-09,2025-01-09,2025-04-17,2025-01-15,2025-01-15,2025-01-15,47150.0,67241.0,70603.0,2025-01-27,2025-02-01,2025-04-28,2025-04-21,,,,,,,2025-01-31,,,,,3,Port → WH → MOSB → Site
354,HVDC-ADOPT-SCT-0032,E08,HVDC-ADOPT-SCT-0032,2024-12-03,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (1st),O,O,O,O,FOB,USD,1066550.87,7200.0,12798.61,1086549.48,KOREA,Busan Port,Khalifa port,290-700-2411-147,HMM Raon,Deugro,C,26,1.0,,4.0,,,,,,,,,,,,,,5.0,,,,89430.0,97.86,97.86,,2024-12-03,2024-12-03,2025-01-09,2025-01-09,2025-04-17,2025-01-15,2025-01-15,2025-01-15,47150.0,199518.0,209494.0,2025-01-27,2025-02-01,2025-02-05,2025-07-23,2025-03-19,,,,,,2025-01-31,,,,,3,Port → WH → MOSB → Site
355,HVDC-ADOPT-SCT-0036,I01,HVDC-ADOPT-SCT-0036,2024-12-03,5000761612,"ESAK CO., Ltd",Inst.,Field Instrument,Field Instrument (1st),O,O,O,O,FOB,USD,121000.0,800.0,1452.0,123252.0,KOREA,Busan Port,Khalifa port,290-700-2411-148,HMM Raon,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1080.0,8.93,8.93,,2024-12-03,2024-12-03,2025-01-09,2025-01-09,2025-04-16,2025-01-15,2025-01-17,2025-01-17,47150.0,7576.0,23011.0,2025-02-05,2025-02-05,2025-02-10,,,,,,,,2025-01-28,,,,,3,Port → WH → MOSB → Site
358,HVDC-ADOPT-SCT-0044,E08,HVDC-ADOPT-SCT-0044,2025-01-07,5000789074,TaeHwa,Elec,Cable Tray System,Set of Anchor Bolt for Cable Tray,O,O,O,O,FOB,USD,109994.44,34845.33,1593.24,146433.01,KOREA,Incheon,Abu Dhabi Airport,DGOS2501006,EY323,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,5797.0,5.51,5.8,,2025-01-12,2025-01-12,2025-01-12,2025-01-12,2025-04-17,2025-01-16,2025-01-16,2025-01-16,47150.0,26889.0,28233.0,2025-01-29,2024-02-18,2025-02-14,2025-02-06,,2025-01-16,,,,,2025-01-17,,,,,3,Port → WH → MOSB → Site
359,HVDC-ADOPT-SCT-0035,E08,HVDC-ADOPT-SCT-0035,2024-12-08,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (4th),O,O,O,O,FOB,USD,225484.04,2400.0,2705.81,230589.85,KOREA,Busan Port,Khalifa port,290-700-2412-016,HMM DAON,Deugro,C,11,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,16745.0,35.41,35.41,,2024-12-08,2024-12-08,2025-01-18,2025-01-18,2025-04-17,2025-01-17,2025-01-23,2025-01-23,47150.0,42344.0,44459.0,2025-02-05,2025-02-05,2025-02-12,2025-03-11,,,,,,,2025-01-31,,,,,3,Port → WH → MOSB → Site
360,HVDC-ADOPT-SCT-0034,E08,HVDC-ADOPT-SCT-0034,2024-12-13,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (4th)",O,O,O,O,FOB,USD,255637.95,4000.0,3067.66,262705.61,KOREA,Busan Port,Khalifa port,290-700-2412-029,AL NASRIYAH,Deugro,C,22,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,47722.0,106.89,106.89,,2024-12-13,2024-12-13,2025-01-19,2025-01-19,2025-04-17,2025-01-23,2025-01-23,2025-01-23,47150.0,48240.0,50651.0,2025-01-30,2025-01-30,2025-06-21,2025-08-24,,,,,,,2025-01-29,,,,,3,Port → WH → MOSB → Site
361,HVDC-ADOPT-SCT-0028,E08,HVDC-ADOPT-SCT-0028,2024-12-13,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,,O,O,,FOB,USD,5455.0,1070.74,71.78,6597.52,Spain,Barcelona,Khalifa port,290-700-2412-027,BELITA / 0MXKSE1MA,Deugro,C,2,,,,,,,,,,,,,,,,1.0,0.0,,,,314.0,3.29,3.29,,2024-12-13,2024-12-13,2025-01-24,2025-01-24,2025-04-16,2025-01-24,2025-01-24,2025-01-24,47150.0,1212.0,1272.0,,2025-02-16,2025-02-19,,,,,,,,2025-01-29,,,,,3,Port → WH → MOSB → Site
376,HVDC-ADOPT-SCT-0037,E08,HVDC-ADOPT-SCT-0037,2024-12-21,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (5th)",O,O,O,,FOB,USD,419121.0,6400.0,5029.45,430550.45,KOREA,Busan Port,Khalifa port,290-700-2412-028,HMM MIR,Deugro,C,46,,,4.0,,,,,,,,,,,,,,4.0,,,,73346.0,90.68,90.68,,2024-12-21,2024-12-21,2025-01-29,2025-01-29,2025-04-16,2025-01-29,2025-01-30,2025-01-30,47150.0,79060.0,83013.0,2025-02-17,2025-02-10,2025-05-25,,,,,,,,2025-02-10,,,,,3,Port → WH → MOSB → Site
377,HVDC-ADOPT-SCT-0029,M01,HVDC-ADOPT-SCT-0029,2024-12-09,SCT-19LT-PJC-PO-019,Xinxiang,Mech,Bulk Bag discharger Equipment,Bulk Bag discharger Equipment,,,,O,FOB,USD,66586.5,1500.0,748.95,68835.45,CHINA,Shanghai,Khalifa port,290-700-2411-157,CSCL Globe,Deugro,C,11,,,1.0,,,,,,,,,,,,,,1.0,,,,3980.0,37.37,37.37,,2024-12-09,2024-12-09,2025-01-29,2025-01-29,2025-04-16,2025-01-30,2025-01-31,2025-01-31,47150.0,8053.0,13061.0,,,,,,,,,,,2025-02-06,,,,,3,Port → WH → MOSB → Site
383,HVDC-ADOPT-SCT-0048,E08,HVDC-ADOPT-SCT-0048,2025-02-04,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (3rd),,O,,,FOB,USD,13143.6,5636.16,206.58,18986.34,KOREA,Incheon,Abu Dhabi Airport,DGOS2501022,EK323,Deugro,A,1,,,,,,,,,,,,,,,,,0.0,,,,912.0,2.03,2.03,,2025-02-04,2025-02-04,2025-02-06,2025-02-06,2025-04-17,2025-02-07,2025-02-07,2025-02-07,47150.0,1903.0,3582.0,,,2025-02-17,,,,,,,,2025-02-10,,,,,3,Port → WH → MOSB → Site
385,HVDC-ADOPT-SCT-0038,E08,HVDC-ADOPT-SCT-0038,2025-01-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (11th),O,O,O,O,FOB,USD,108051.79,10400.0,1296.62,119748.41,KOREA,Busan Port,Khalifa port,290-700-2412-143,SOUTHAMPTON EXPRESS,Deugro,C,39,1.0,,6.0,,,,,,,,,,,,,,7.0,,,,64093.0,194.05,194.05,,2025-01-05,2025-01-05,2025-02-07,2025-02-07,2025-04-16,2025-02-11,2025-02-11,2025-02-11,47150.0,21989.0,23088.0,2025-02-26,2025-02-28,2025-04-28,2025-04-21,,,,,,,2025-03-19,,,,,3,Port → WH → MOSB → Site
389,HVDC-ADOPT-SCT-0056,E08,HVDC-ADOPT-SCT-0056,2025-02-11,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,,,FOB,USD,6813.82,2876.46,106.59,9796.87,CHINA,Shanghai,Abu Dhabi Airport,607 37608270,EY9912,,A,2,,,,,,,,,,,,,,,,,0.0,,,,502.0,1.67,1.67,,2025-02-14,2025-02-14,2025-02-14,2025-02-14,2025-04-16,2025-02-14,2025-02-14,2025-02-14,47150.0,1799.0,1889.0,2025-02-21,,2025-03-09,,,,,,,,2025-02-10,,,,,3,Port → WH → MOSB → Site
390,HVDC-ADOPT-SCT-0039,E08,HVDC-ADOPT-SCT-0039,2025-01-11,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (2nd),O,O,O,O,FOB,USD,28436.23,800.0,341.23,29577.46,KOREA,Busan Port,Khalifa port,290-700-2501-006,HMM HANUL,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1220.0,3.78,3.78,,2025-01-11,2025-01-11,2025-02-19,2025-02-19,2025-04-17,2025-02-19,2025-02-19,2025-02-19,47150.0,5432.0,5703.0,2025-04-24,2025-02-28,2025-03-31,2025-04-06,,,,,,,2025-03-18,,,,,3,Port → WH → MOSB → Site
392,HVDC-ADOPT-SCT-0042,E08,HVDC-ADOPT-SCT-0042,2025-01-18,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (12th),O,O,O,,FOB,USD,34922.92,4000.0,428.15,39351.07,KOREA,Busan Port,Khalifa port,290-700-2501-026,UMM QARN,Deugro,C,11,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,18613.0,75.46,75.46,,2025-01-18,2025-01-18,2025-02-21,2025-02-21,2025-04-17,2025-02-24,2025-02-24,2025-02-24,47150.0,7226.0,7587.0,2025-03-03,2025-03-03,2025-04-28,,,,,,,,2025-03-01,,,,,3,Port → WH → MOSB → Site
417,HVDC-ADOPT-SCT-0043,E08,HVDC-ADOPT-SCT-0043,2025-01-27,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 1st,O,O,O,O,FOB,USD,72079.01,800.0,864.95,73743.96,KOREA,Busan Port,Khalifa port,290-700-2501-072,HMM GAON,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,4490.0,11.93,11.93,,2025-01-27,2025-01-27,2025-03-07,2025-03-07,2025-04-16,2025-03-10,2025-03-11,2025-03-11,47150.0,13542.0,14218.0,2025-03-18,2025-03-18,2025-04-01,2025-03-31,,,,,,,2025-03-17,,,,,3,Port → WH → MOSB → Site
418,HVDC-ADOPT-SCT-0045,M01,HVDC-ADOPT-SCT-0045,2025-01-26,5000740797,WILO Pump Korea,Mech,General Seviece Pump 1st,Portable water Pump,,O,O,,FOB,USD,25600.0,800.0,307.2,26707.2,KOREA,Busan Port,Khalifa port,290-700-2501-148,HMM GAON,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1140.0,4.75,4.75,,2025-01-27,2025-01-27,2025-03-07,2025-03-07,2025-04-17,2025-03-10,2025-03-11,2025-03-11,47150.0,4905.0,5149.0,,2025-03-18,2025-04-01,,,,,,,,2025-03-17,,,,,3,Port → WH → MOSB → Site
422,HVDC-ADOPT-SEI-0020,E03,HVDC-ADOPT-SEI-0020,2025-02-20,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Omline Monitoring System,O,O,,,CIF,EUR,4146376.27,13092.58,20901.85,4180370.7,GERMANY,Frankfurt,Abu Dhabi Airport,HHAD00023181,QR-8222,,A,5,,,,,,,,,,,,,,,,,0.0,,,,1882.0,10.52,10.52,,2025-02-28,2025-02-28,2025-03-09,2025-03-09,2025-04-14,2025-03-10,2025-03-10,2025-03-10,47150.0,832561.0,874188.0,2025-09-29,,2025-10-16,,,,,,2025-03-11,,2025-10-08,,,,,3,Port → WH → MOSB → Site
