NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS
422,HVDC-ADOPT-SEI-0020,E03,HVDC-ADOPT-SEI-0020,2025-02-20,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Omline Monitoring System,O,O,,,CIF,EUR,4146376.27,13092.58,20901.85,4180370.7,GERMANY,Frankfurt,Abu Dhabi Airport,HHAD00023181,QR-8222,,A,5,,,,,,,,,,,,,,,,,0,,,,1882,10.52,10.52,,2025-02-28,2025-02-28,2025-03-09,2025-03-09,2025-04-14,2025-03-10,2025-03-10,2025-03-10,47150,832561,874188,2025-09-29,,2025-10-16,,,,,,2025-03-11,,2025-10-08,,,,
423,HVDC-ADOPT-HE-0317-1,E01,PRL-SHU-046-A1,2025-02-25,4572116646,Hitachi,Elec,Main Converter,CONTROL CUBICLE,O,,,,DAP,SEK,5666350,195802.8,566635,6428787.8,SWEDEN,Billund,Abu Dhabi Airport,1130116290,EY,Scan Global Logistics AB,A,10,,,,,,,,,,,,,,,,,0,,,,6560,51.27,51.27,,2025-03-07,2025-03-07,2025-03-11,2025-03-11,2025-04-17,2025-03-11,2025-03-11,2025-03-11,47150,116865,122708,2025-03-13,,,,,,,,,,,,,,
424,HVDC-ADOPT-HE-0317-2,E01,PRL-SHU-046-A2,2025-02-25,4572116646,Hitachi,Elec,Main Converter,CONTROL CUBICLE,O,,,,DAP,SEK,5666350,195802.8,566635,6428787.8,SWEDEN,Billund,Abu Dhabi Airport,1130116291,EY,Scan Global Logistics AB,A,10,,,,,,,,,,,,,,,,,0,,,,6165,47.02,47.02,,2025-03-07,2025-03-07,2025-03-13,2025-03-13,2025-04-17,2025-03-13,2025-03-13,2025-03-13,47150,116842,122684,2025-03-14,,,,,,,,,,,,,,
425,HVDC-ADOPT-HE-0317-3,E01,PRL-SHU-046-A3,2025-02-25,4572116646,Hitachi,Elec,Main Converter,CONTROL CUBICLE,O,,,,DAP,SEK,5666350,195802.8,566635,6428787.8,SWEDEN,Billund,Abu Dhabi Airport,1130116292,EY,Scan Global Logistics AB,A,10,,,,,,,,,,,,,,,,,0,,,,6655,51.27,51.27,,2025-03-07,2025-03-07,2025-03-14,2025-03-14,2025-04-16,2025-03-14,2025-03-14,2025-03-14,47150,116247,122059,2025-03-17,,,,,,,,,,,,,,
426,HVDC-ADOPT-ZEN-0006 A,,HVDC-ADOPT-ZEN-0006 A,2024-09-30,,FIRE EATER,,,Fire Extinguishing System,,,,,CIF,EUR,,,,397041.12,Denmark,Copenhagen,Khalifa port,SEA EX 2411F-180A,NEUN FELDE,,C,42,3,,,,,,,,,,,,,,,,3,,,,73080,78.61,78.61,,2024-12-19,2024-12-19,2025-03-09,2025-03-09,2025-04-16,2025-03-13,2025-03-13,2025-03-13,47150,,91272,,,,,,,,,,,,,2025-03-14,,
427,HVDC-ADOPT-SIM-0044,E04-1,477QGP51793982,2024-10-24,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,400kv and 132kv GIS - SHDC - PS024 GIB -IMO DG cargo,O,,,,CIF,USD,,,,33827.47,GERMANY,Hamburg,Khalifa port,DXB00004622,GUAYAQUIL EXPRESS,Alpha Maritime,C,17,,,2,,,,,,,,,,,,,,2,,,,4380,27.56,27.56,,2025-01-06,2025-01-06,2025-03-12,2025-03-12,2025-04-16,2025-03-12,2025-03-14,2025-03-14,47150,6221,6523,2025-03-28,,,,,,,,,,,,,,
428,HVDC-ADOPT-SIM-0057,E04-1,HVDC-ADOPT-SIM-0057,2024-12-20,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,19LT-SCT-SE2-TR-00560 : PDMS PO# 4510190879,O,O,O,O,CIF,EUR,,,,310080,Italy,Malpensa,Abu Dhabi Airport,176-07829415,EK9661,,A,15,,,,,,,,,,,,,,,,,0,,,,3292,0,3.29,,2025-03-08,2025-03-08,2025-03-10,2025-03-10,2025-04-14,2025-03-17,2025-03-17,2025-03-17,47150,61910,65005,2025-04-21,2025-04-19,2025-04-01,2025-11-10,2025-03-20,,,,,,2025-09-16,,,,
429,HVDC-ADOPT-SCT-0069,E08,HVDC-ADOPT-SCT-0069,2025-03-15,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System (Lighting Fixture),O,,,,FOB,USD,52500,4090.24,577.5,57167.74,Spain,Barcelona,Abu Dhabi Airport,BCN318684,EY0112,,A,4,,,,,,,,,,,,,,,,,0,,,,913,5.73,5.73,,2025-03-15,2025-03-15,2025-03-15,2025-03-15,2025-04-17,2025-03-17,2025-03-17,2025-03-17,47150,10498,11022,2025-04-05,,,,,,,,,,,,,,
430,HVDC-ADOPT-HE-0319-1,E01,PRL-SHU-049-A1,2025-03-12,4572116646,Hitachi,Elec,Main Converter,CONTROL CUBICLE,O,,,,DAP,SEK,5666350,148342.12,566635,6381327.12,Denmark,Billund,Abu Dhabi Airport,1130116616,EY,Scan Global Logistics AB,A,10,,,,,,,,,,,,,,,,,0,,,,4857,37.79,37.79,,2025-03-14,2025-03-14,2025-03-17,2025-03-17,2025-04-16,2025-03-18,2025-03-18,2025-03-18,47150,115810,121600,2025-03-21,,,,,,,,,,,,,,
431,HVDC-ADOPT-HE-0319-2,E01,PRL-SHU-049-A2,2025-03-12,4572116646,Hitachi,Elec,Main Converter,CONTROL CUBICLE,O,,,,DAP,SEK,5099715,139351.13,509971.5,5749037.63,Denmark,Billund,Abu Dhabi Airport,1130116617,EY,Scan Global Logistics AB,A,9,,,,,,,,,,,,,,,,,0,,,,4785,35.52,35.52,,2025-03-14,2025-03-14,2025-03-18,2025-03-18,2025-04-16,2025-03-19,2025-03-19,2025-03-19,47150,104772,110010,2025-03-21,,,,,,,,,,,,,,
432,HVDC-ADOPT-HE-0319-3,E01,PRL-SHU-049-A3,2025-03-12,4572116646,Hitachi,Elec,Main Converter,CONTROL CUBICLE,O,,,,DAP,SEK,4533080,25841.36,453308,5012229.36,Denmark,Billund,Abu Dhabi Airport,1130116619,EY,Scan Global Logistics AB,A,8,,,,,,,,,,,,,,,,,0,,,,1086,4.9,4.9,,2025-03-14,2025-03-14,2025-03-17,2025-03-17,2025-04-16,2025-03-18,2025-03-18,2025-03-18,47150,90963,95511,2025-03-21,,,,,,,,,,,,,,
433,HVDC-ADOPT-SCT-0065,E08,HVDC-ADOPT-SCT-0065,2025-03-11,5001005974,JEONO ELECTRIC,Elec,Terminal Lug,Terminal Lug,O,O,O,,FOB,USD,32724.95,7160,359.97,40244.92,KOREA,Incheon,Abu Dhabi Airport,SUN1184900,TK6545,,A,3,,,,,,,,,,,,,,,,,0,,,,1432,3.29,3.29,,2025-03-16,2025-03-16,2025-03-18,2025-03-18,2025-04-16,2025-03-18,2025-03-18,2025-03-18,47150,7393,7760,2025-04-16,2025-04-14,2025-04-22,,,2025-03-25,,,,,2025-04-09,,,,
434,HVDC-ADOPT-SCT-0054,E08,HVDC-ADOPT-SCT-0054,2025-02-26,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,217975,3200,2397.73,223572.73,CHINA,Shekou,Khalifa port,290-700-2502-167,CMA CGM IRON,Deugro,C,26,,,2,,,,,,,,,,,,,,2,,,,10410,73.49,73.49,,2025-02-26,2025-02-26,2025-03-18,2025-03-18,2025-04-16,2025-03-24,2025-03-24,2025-03-24,47150,41054,43106,2025-04-09,2025-04-08,2025-04-22,2025-04-22,,2025-03-29,,,,,2025-04-09,,,,
435,HVDC-ADOPT-HE-0268,E01,PRL-CS-025-O2,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator Bil 250,,O,,O,DAP,SEK,571677.4,4420.62,57167.74,633265.76,CHINA,Shanghai,Khalifa port,GOT36800228-001,MSC GAIA,Scan Global Logistics AB,C,2,1,,,,,,,,,,,,,,,,1,,,,600,1.42,1.42,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-16,2025-03-25,2025-03-26,2025-03-26,47150,,33810,,,2025-04-14,2025-04-16,,,,,,,2025-04-10,,,,
436,HVDC-ADOPT-HE-0269,E01,PRL-CS-025-O2 Spare,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator Bil 250 Spare,,O,,O,DAP,SEK,84395.52,4420.62,8439.55,97255.69,CHINA,Shanghai,Khalifa port,GOT36800228-002,MSC GAIA,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0,,,,110,0.26,0.26,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-16,2025-03-25,2025-03-26,2025-03-26,47150,,,,,2025-04-14,2025-04-16,,,,,,,2025-04-10,,,,
437,HVDC-ADOPT-HE-0270,E01,PRL-MIR-022-O2,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator,,,O,,DAP,SEK,286986.2,4420.62,28698.62,320105.44,CHINA,Shanghai,Khalifa port,GOT36800231-001,MSC GAIA,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0,,,,300,0.71,0.71,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-16,2025-03-25,2025-03-26,2025-03-26,47150,,,,2025-04-11,,,,,,,,,,,,,
438,HVDC-ADOPT-HE-0271,E01,PRL-MIR-022-O2 Spare,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator Spare,,,O,,DAP,SEK,42197.76,4420.62,4219.78,50838.16,CHINA,Shanghai,Khalifa port,GOT36800231-002,MSC GAIA,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0,,,,55,0.13,0.13,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-16,2025-03-25,2025-03-26,2025-03-26,47150,,,,2025-04-11,,,,,,,,,,,,,
439,HVDC-ADOPT-HE-0272,E01,PRL-SHU-032-O2,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator,O,,,,DAP,SEK,291794.4,4420.62,29179.44,325394.46,CHINA,Shanghai,Khalifa port,GOT36800232-001,MSC GAIA,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0,,,,300,0.71,0.71,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-17,2025-03-25,2025-03-26,2025-03-26,47150,,,2025-04-17,,,,,,,,,,,,,,
440,HVDC-ADOPT-HE-0273,E01,PRL-SHU-032-O2 Spare,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator Spare,O,,,,DAP,SEK,42197.76,4420.62,4219.78,50838.16,CHINA,Shanghai,Khalifa port,GOT36800232-002,MSC GAIA,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0,,,,55,0.13,0.13,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-17,2025-03-25,2025-03-26,2025-03-26,47150,,,2025-04-17,,,,,,,,,,,,,,
441,HVDC-ADOPT-HE-0274,E01,PRL-SHU-033-O2,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator,O,,,,DAP,SEK,277506,4420.62,27750.6,309677.22,CHINA,Shanghai,Khalifa port,GOT36800233-001,MSC GAIA,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0,,,,361.5,1.02,1.02,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-17,2025-03-25,2025-03-26,2025-03-26,47150,,,2025-04-17,,,,,,,,,,,,,,
442,HVDC-ADOPT-HE-0275,E01,PRL-SHU-033-O2 Spare,2025-02-24,4572116646,Hitachi,Elec,Main Converter,Insulator Bil 250 Spare,O,,,,DAP,SEK,42262.56,4420.62,4226.26,50909.44,CHINA,Shanghai,Khalifa port,GOT36800233-002,MSC GAIA,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0,,,,77.5,0.19,0.19,,2025-02-24,2025-02-24,2025-03-22,2025-03-22,2025-04-17,2025-03-25,2025-03-26,2025-03-26,47150,,,2025-04-17,,,,,,,,,,,,,,
443,HVDC-ADOPT-HE-0326,E01,PRL-DAS-031-A4,2025-03-18,4572116646,Hitachi,Elec,Main Converter,CONTROL CUBICLE,,O,,,DAP,SEK,1133270,115779.78,113327,1362376.78,Denmark,Billund,Abu Dhabi Airport,1130116950,EY918,Scan Global Logistics AB,A,2,,,,,,,,,,,,,,,,,0,,,,2160,14.5,14.5,,2025-03-21,2025-03-21,2025-03-25,2025-03-25,2025-04-17,2025-03-26,2025-03-26,2025-03-26,47150,25057,26310,,,2025-04-19,,,,,,,,2025-03-27,,,,
444,HVDC-ADOPT-HE-0291,E01,PRL-MIR-011-O4,2025-02-06,4572116646,Hitachi,Elec,Main Converter,Wall Bushings-GSCL1300,,,O,,DAP,SEK,121921.74,61121.95,12192.17,195235.86,SWEDEN,Gothenburg,Khalifa port,GOT36800244,Maersk Cincinnati,Scan Global Logistics AB,C,1,,,1,,,,,,,,,,,,,,1,,,,1625,7.17,7.17,,2025-02-06,2025-02-06,2025-03-23,2025-03-23,2025-04-16,2025-03-25,2025-03-27,2025-03-27,47150,3568,3746,,2025-04-11,,,,,,,,,,,,,
445,HVDC-ADOPT-HE-0292,E01,PRL-SHU-008-O7,2025-02-13,4572116646,Hitachi,Elec,Main Converter,External Pipe Coolers,O,,,,DAP,SEK,4153744.8,55903.93,415374.48,4625023.21,SWEDEN,Gothenburg,Khalifa port,GOT36800243,ANE MAERSK,Scan Global Logistics AB,C,8,,,4,,,,,,,,,,,,,,4,,,,19210,135.42,135.42,,2025-02-13,2025-02-13,2025-03-23,2025-03-23,2025-04-16,2025-03-25,2025-03-27,2025-03-27,47150,8549,93497,2025-04-15,,,,,,,,,,,,,,
446,HVDC-ADOPT-HE-0298,E01,PRL-MIR-029-O,2025-02-13,4572116646,Hitachi,Elec,Main Converter,HMD62 RH+T Duct Transmitter,,,O,,DAP,SEK,103386.44,3639.92,10338.64,117365,SWEDEN,Gothenburg,Khalifa port,GOT36800249,ANE MAERSK,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0,,,,30,0.3,0.3,,2025-02-13,2025-02-13,2025-03-23,2025-03-23,2025-04-16,2025-03-25,2025-03-27,2025-03-27,47150,,,,2025-05-30,,,2025-04-12,,,,,,,,,,
447,HVDC-ADOPT-HE-0299,E01,PRL-SHU-042-O,2025-02-13,4572116646,Hitachi,Elec,Main Converter,HMD62 RH+T Duct Transmitter,O,,,,DAP,SEK,103386.44,3639.92,10338.64,117365,SWEDEN,Gothenburg,Khalifa port,GOT36800250,ANE MAERSK,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0,,,,31,0.3,0.3,,2025-02-13,2025-02-13,2025-03-23,2025-03-23,2025-04-17,2025-03-25,2025-03-27,2025-03-27,47150,,,2025-06-16,,,,2025-04-12,,,,,,,,,,
448,HVDC-ADOPT-HE-0300,E01,PRL-CS-031-O,2025-02-13,4572116646,Hitachi,Elec,Main Converter,HMD62 RH+T Duct Transmitter,,O,,O,DAP,SEK,206772.88,5584.75,20677.29,233034.92,SWEDEN,Gothenburg,Khalifa port,GOT36800251,ANE MAERSK,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0,,,,52,0.4,0.4,,2025-02-13,2025-02-13,2025-03-23,2025-03-23,2025-04-17,2025-03-25,2025-03-27,2025-03-27,47150,,,,,,2026-01-26,2025-04-10,,,,,,2025-11-18,,,,
449,HVDC-ADOPT-SCT-0055,E08,HVDC-ADOPT-SCT-0055,2025-02-18,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (13th),O,O,O,,FOB,USD,203871,15200,2242.58,221313.58,KOREA,Busan Port,Khalifa port,290-700-2502-065,HMM DAON,Deugro,C,60,1,,9,,,,,,,,,,,,,,10,,,,113708,326.32,326.32,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-27,2025-03-27,47150,40639,42671,2025-04-11,2025-04-14,2025-04-16,,,,,,,,2025-04-08,,,,
450,HVDC-ADOPT-SCT-0052,E08,HVDC-ADOPT-SCT-0052,2025-02-18,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 2nd,O,O,O,O,FOB,USD,153749.31,1600,1691.24,157040.55,KOREA,Busan Port,Khalifa port,290-700-2502-064,HMM DAON,Deugro,C,4,,,1,,,,,,,,,,,,,,1,,,,8605,24.56,24.56,,2025-02-18,2025-02-18,2025-03-28,2025-03-28,2025-04-17,2025-03-26,2025-03-28,2025-03-28,47150,28837,30278,2025-04-09,2025-04-14,2025-04-28,2025-04-21,,2025-04-09,,,,,2025-04-09,,,,
451,HVDC-ADOPT-SCT-0051,E08,HVDC-ADOPT-SCT-0051,2025-02-18,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (4th),O,,O,O,FOB,USD,36212.6,800,434.55,37447.15,KOREA,Busan Port,Khalifa port,290-700-2502-063,HMM DAON,Deugro,C,3,1,,,,,,,,,,,,,,,,1,,,,1724,4.27,4.27,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-29,2025-03-29,47150,1684,6961,2025-04-11,2025-04-14,,2025-05-29,,,,,,,2025-05-12,,,,
452,HVDC-ADOPT-SCT-0050,E08,HVDC-ADOPT-SCT-0050,2025-02-18,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (3rd),O,O,O,O,FOB,USD,15130.32,800,181.56,16111.88,KOREA,Busan Port,Khalifa port,290-700-2502-062,HMM DAON,Deugro,C,6,1,,,,,,,,,,,,,,,,1,,,,3980,9.68,9.68,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-27,2025-03-27,47150,2959,3107,2025-04-09,2025-04-14,2025-04-24,2025-04-21,,,,,,,2025-04-09,,,,
453,HVDC-ADOPT-HE-0301-1,E01,PRL-CS-029-O,2025-02-26,4572116646,Hitachi,Elec,Main Converter,Insulators / Hings,,,,O,DAP,SEK,135801.05,13239.58,13580.11,162620.74,BELGIUM,Antwerp,Khalifa port,GOT36800252,ANE MAERSK,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0,,,,996,1.6,1.6,,2025-02-26,2025-02-26,2025-03-28,2025-03-28,2025-04-16,2025-03-28,2025-04-02,2025-04-02,47150,47436,49806,,,,2025-11-26,,2025-04-05,,,,,2025-11-22,,,,
454,HVDC-ADOPT-HE-0311-1,E01,PRL-SHU-045-O,2025-02-26,4572116646,Hitachi,Elec,Main Converter,Aluminium Busbar Tube 160x6mm,O,,,,DAP,SEK,808738.59,34665.78,80873.86,924278.23,BELGIUM,Antwerp,Khalifa port,GOT36800260,ANE MAERSK,Scan Global Logistics AB,C,51,,,3,,,,,,,,,,,,,,3,,,,8794,48.1,48.1,,2025-02-26,2025-02-26,2025-03-28,2025-03-28,2025-04-16,2025-03-28,2025-04-02,2025-04-02,47150,,,2025-06-02,,,,2025-04-05,,,,,,,,,,
455,HVDC-ADOPT-HE-0308,E01,PRL-DAS-028-O1,2025-02-26,4572116646,Hitachi,Elec,Main Converter,Aluminium Busbar Tube 250x6mm,,O,,,DAP,SEK,1197789.91,166273.58,119778.99,1483842.48,BELGIUM,Antwerp,Khalifa port,GOT36800258,MAERSK HERRERA,Scan Global Logistics AB,C,24,,,,,,,,,,,,,,,,,0,,,,6273,45.4,45.4,,2025-02-26,2025-02-26,2025-03-28,2025-03-28,2025-04-16,2025-03-28,2025-04-02,2025-04-02,47150,,,,,2025-08-17,,2025-04-05,,,,,,2025-08-05,,,,
456,HVDC-ADOPT-HE-0309-1,E01,PRL-DAS-028-O2-1,2025-02-26,4572116646,Hitachi,Elec,Main Converter,Aluminium Busbar Tube 160x6mm,,O,,,DAP,SEK,,,,,BELGIUM,Antwerp,Khalifa port,GOT36800258,MAERSK HERRERA,Scan Global Logistics AB,C,19,,,,,,,,,,,,,,,,,0,,,,3751,20.9,20.9,,2025-02-26,2025-02-26,2025-03-28,2025-03-28,2025-04-16,2025-03-28,2025-04-02,2025-04-02,47150,,,,,2025-08-17,,2025-04-05,,,,,,2025-08-05,,,,
457,HVDC-ADOPT-HE-0310-1,E01,PRL-DAS-028-O3-1,2025-02-26,4572116646,Hitachi,Elec,Main Converter,Aluminium Busbar Tube 160x6mm,,O,,,DAP,SEK,,,,,BELGIUM,Antwerp,Khalifa port,GOT36800258,MAERSK HERRERA,Scan Global Logistics AB,C,26,,,,,,,,,,,,,,,,,0,,,,4099,21.5,21.5,,2025-02-26,2025-02-26,2025-03-28,2025-03-28,2025-04-16,2025-03-28,2025-04-02,2025-04-02,47150,,,,,2025-06-13,,2025-04-05,,,,,,2025-08-06,,,,
458,HVDC-ADOPT-SCT-0053,E08,HVDC-ADOPT-SCT-0053,2025-01-23,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,94045,2660,1034.5,97739.5,Spain,Barcelona,Khalifa port,290-700-2502-077,MSC CATANIA,Deugro,C,37,,,1,,,,,,,,,,,,,,1,,,,5302,48.26,48.26,,2025-02-27,2025-02-27,2025-04-01,2025-04-01,2025-04-30,2025-04-03,2025-04-04,2025-04-04,47150,17949,18845,2025-04-21,2025-04-22,2025-04-29,,,,,,,,2025-04-21,,,,
459,HVDC-ADOPT-SCT-0061,E08,HVDC-ADOPT-SCT-0061,2025-03-31,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting Fixture,O,O,O,O,FOB,USD,14100,2030,169.2,16299.2,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002288,EK4607 / 9906,Deugro,A,4,,,,,,,,,,,,,,,,,0,,,,406,3.42,3.42,,2025-03-28,2025-03-28,2025-04-04,2025-04-04,2025-04-28,2025-04-04,2025-04-04,2025-04-04,47150,2993,3143,2025-05-01,2025-04-30,2025-04-25,2025-04-27,,,,,,,2025-04-17,,,,
460,HVDC-ADOPT-SIM-0066,E04-1,HVDC-ADOPT-SIM-0066,2025-01-23,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery,O,,O,,CIF,EUR,,,,40520,India,Visakhapatnam,Khalifa port,BBC/ABU/17763,MSC Sabrina,,C,32,1,,,,,,,,,,,,,,,,1,,,,5028,6.58,6.58,,2025-02-26,2025-02-26,2025-03-31,2025-03-31,2025-04-30,2025-04-02,2025-04-07,2025-04-07,47150,8190,8596,2025-04-19,2025-04-19,,,,,,,,,,,,,
461,HVDC-ADOPT-SCT-0079,E08,HVDC-ADOPT-SCT-0079,2025-03-27,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,16080,2220.44,176.88,18477.32,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002284,QR9274,Deugro,A,4,,,,,,,,,,,,,,,,,0,,,,257.4,2.54,2.54,,2025-03-27,2025-03-27,2025-04-01,2025-04-01,2025-04-30,2025-04-07,2025-04-07,2025-04-07,47150,3393,3563,,2025-04-29,2025-04-13,,,,,,,,2025-04-08,,,,
462,HVDC-ADOPT-SIM-0056,E04-1,477QGP51800132,2024-12-30,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,SHDC - GIS Spares -PS037 GIS spares,O,,,,CIF,USD,,,,1505079.24,GERMANY,Hamburg,Khalifa port,DXB00004927,Maersk Cincinnati,Alpha Maritime,C,44,1,,6,,,,,,,2,,,,,,,9,,,,39666.8,311.11,311.11,,2025-02-13,2025-02-13,2025-03-23,2025-03-23,2025-04-30,2025-03-25,2025-04-07,2025-04-07,47150,268734,289808,2025-04-24,,,,,,,,,,,,,,
463,HVDC-ADOPT-SIM-0061,E04-1,477QGP51800377,2025-01-09,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,MRDC Spares PS041,,,O,,CIF,USD,,,,1505083.8,GERMANY,Hamburg,Khalifa port,DXB00004933,Maersk Cincinnati,Alpha Maritime,C,40,1,,6,,,,,,,2,,,,,,,9,,,,39693.5,315.21,315.21,,2025-02-13,2025-02-13,2025-03-23,2025-03-23,2025-05-05,2025-03-25,2025-04-07,2025-04-07,47150,268757,289810,,2025-05-26,,,,2025-04-14,,,,,,,,,
464,HVDC-ADOPT-HE-0334,E01,PRL-O-019-O1,2025-02-25,4572116646,Hitachi,Elec,Main Converter,NYTRO 10XN Transformer Oil,O,,,,DAP,USD,347502.31,37879.6,34750.23,420132.14,BELGIUM,Antwerp,Khalifa port,ANRB36887,MUNDRA EXPRESS,DANMAR LINES,C,8,,,,,8,,,,,,,,,,,,8,,,,172180,306.37,306.37,,2025-02-22,2025-02-22,2025-04-01,2025-04-01,2025-04-28,2025-04-02,2024-04-08,2024-04-08,47150,77147,81004,2025-04-18,,,,,,,,,,,,,,
465,HVDC-ADOPT-SIM-0062,E04-1,477QGP51800216,2025-01-03,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,GHDC - GIBs - PS042,,,,O,CIF,USD,,,,139713.96,GERMANY,Hamburg,Khalifa port,DXB00004952,ANE MAERSK,Alpha Maritime,C,1,1,,,,,,,,,,,,,,,,1,,,,815,3.5,3.5,,2025-02-20,2025-02-20,2025-03-28,2025-03-28,2025-04-30,2025-04-08,2025-04-09,2025-04-09,47150,25655,26938,,,,2025-08-11,,2025-04-14,,,,,2025-07-19,,,,
466,HVDC-ADOPT-PPL-0016,E02,HVDC-ADOPT-PPL-0016,2025-03-18,5000675246,Prysmian,Elec,320kV HVDC Cable System,MINISUB FOC Subsea Fibre Optic Cable (up to 96 fibres) FO Accessories,,,,,CIF,EUR,177539.1,1704,1971.67,181214.77,GERMANY,Frankfurt,Abu Dhabi Airport,607-3487-8163,EY7114,,A,3,,,,,,,,,,,,,,,,,0,,,,210,0.73,0.73,,2025-04-04,2025-04-04,2025-04-05,2025-04-05,2025-04-28,2025-04-10,2025-04-10,2025-04-10,47150,37043,38895,,2025-11-24,,,,,,,2025-04-15,,,,,,
467,HVDC-ADOPT-SCT-0090,E08,HVDC-ADOPT-SCT-0090,2025-04-05,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,,,,O,FOB,USD,6013.63,748.2,65.43,6827.26,CHINA,Zhenzhen,Abu Dhabi Airport,20250103,3375,Deugro,A,20,,,,,,,,,,,,,,,,,0,,,,86,0.56,0.56,,2025-04-06,2025-04-06,2025-04-06,2025-04-06,2025-05-06,2025-04-08,2025-04-08,2025-04-08,47150,,1254,,,,2025-04-12,,,,,,,2025-04-09,,,,
